design_id,pae_6WRV_positive,pae_TfR2_negative,pae_1SUV_Tf_competition,iptm_6WRV_positive,iptm_TfR2_negative,iptm_1SUV_Tf_competition,pass_positive,pass_tfr2_selectivity,pass_tf_competition,pass_stage7_3
tfr1_l59_s344619_mpnn5,30.08,27.28,30.78,0.1700,0.1000,0.1500,False,True,False,False
tfr1_l59_s344619_mpnn6,29.95,26.42,30.74,0.1700,0.1700,0.1500,False,True,False,False
tfr1_l59_s344619_mpnn7,30.12,27.18,31.09,0.1700,0.1100,0.1500,False,True,False,False
tfr1_l59_s344619_mpnn8,29.93,26.34,30.83,0.1600,0.1900,0.1500,False,True,False,False
tfr1_l59_s344619_mpnn9,30.02,27.18,30.77,0.1600,0.1000,0.1500,False,True,False,False
tfr1_l59_s484420_mpnn14,29.85,27.10,29.79,0.1700,0.1000,0.1800,False,True,False,False
tfr1_l59_s484420_mpnn5,30.02,27.52,29.65,0.1600,0.1000,0.1800,False,True,False,False
tfr1_l59_s519865_mpnn1,30.21,26.85,30.95,0.1600,0.1400,0.1500,False,True,False,False
tfr1_l59_s519865_mpnn4,30.11,26.83,30.98,0.1600,0.1800,0.1500,False,True,False,False
tfr1_l59_s549085_mpnn1,30.07,27.05,30.78,0.1600,0.1100,0.1500,False,True,False,False
tfr1_l59_s549085_mpnn5,30.07,26.32,30.75,0.1600,0.1800,0.1500,False,True,False,False
tfr1_l59_s917497_mpnn12,29.54,26.67,30.86,0.1700,0.1700,0.1500,False,True,False,False
tfr1_l59_s917497_mpnn2,29.76,26.59,30.80,0.1700,0.1800,0.1500,False,True,False,False
tfr1_l59_s917497_mpnn4,30.12,27.05,30.85,0.1600,0.1600,0.1500,False,True,False,False
tfr1_l59_s917497_mpnn5,29.82,26.97,30.83,0.1600,0.1400,0.1500,False,True,False,False
tfr1_l59_s917497_mpnn6,29.76,26.74,30.81,0.1700,0.1700,0.1500,False,True,False,False
tfr1_l59_s917497_mpnn7,29.91,26.94,30.82,0.1700,0.1600,0.1500,False,True,False,False
tfr1_l59_s917497_mpnn8,29.77,27.01,30.87,0.1600,0.1700,0.1500,False,True,False,False
tfr1_l59_s917497_mpnn9,29.87,26.56,30.87,0.1700,0.1800,0.1500,False,True,False,False
tfr1_l60_s302149_mpnn11,30.94,27.97,31.15,0.1500,0.0900,0.1500,False,True,False,False
tfr1_l60_s302149_mpnn13,30.78,28.18,31.00,0.1500,0.0900,0.1500,False,True,False,False
tfr1_l60_s302149_mpnn15,30.81,27.93,30.85,0.1500,0.0900,0.1500,False,True,False,False
tfr1_l60_s302149_mpnn17,30.69,28.12,30.79,0.1500,0.0900,0.1500,False,True,False,False
tfr1_l60_s302149_mpnn18,30.64,27.98,31.01,0.1500,0.0900,0.1500,False,True,False,False
tfr1_l60_s302149_mpnn4,30.60,28.16,30.99,0.1500,0.0900,0.1500,False,True,False,False
tfr1_l60_s302149_mpnn9,30.83,28.03,30.99,0.1500,0.0900,0.1500,False,True,False,False
tfr1_l60_s766452_mpnn12,30.79,26.52,31.09,0.1500,0.2300,0.1500,False,True,False,False
tfr1_l60_s766452_mpnn15,30.71,26.36,31.09,0.1500,0.1800,0.1500,False,True,False,False
tfr1_l61_s144539_mpnn16,23.01,26.71,30.96,0.4400,0.4300,0.1500,False,True,False,False
tfr1_l61_s144539_mpnn2,29.21,28.00,30.91,0.1800,0.1300,0.1500,False,True,False,False
tfr1_l61_s144539_mpnn5,29.75,27.50,30.90,0.1700,0.1500,0.1500,False,True,False,False
tfr1_l62_s195947_mpnn14,30.61,26.76,30.83,0.1500,0.1100,0.1500,False,True,False,False
tfr1_l62_s621895_mpnn10,30.68,27.11,30.92,0.1500,0.1000,0.1500,False,True,False,False
tfr1_l62_s621895_mpnn11,30.62,26.82,30.92,0.1500,0.2300,0.1500,False,True,False,False
tfr1_l62_s621895_mpnn12,30.62,27.02,30.97,0.1500,0.1000,0.1500,False,True,False,False
tfr1_l62_s621895_mpnn13,30.68,27.60,30.95,0.1500,0.1000,0.1500,False,True,False,False
tfr1_l62_s621895_mpnn14,30.67,27.37,30.99,0.1500,0.1000,0.1500,False,True,False,False
tfr1_l62_s621895_mpnn16,30.67,27.37,30.95,0.1500,0.0900,0.1500,False,True,False,False
tfr1_l62_s621895_mpnn17,30.63,27.53,30.93,0.1500,0.0900,0.1500,False,True,False,False
tfr1_l62_s621895_mpnn18,30.61,26.35,30.88,0.1500,0.3500,0.1500,False,True,False,False
tfr1_l62_s621895_mpnn19,30.80,27.55,31.02,0.1500,0.0900,0.1500,False,True,False,False
tfr1_l62_s621895_mpnn2,30.68,27.16,31.00,0.1500,0.1000,0.1500,False,True,False,False
tfr1_l62_s621895_mpnn20,30.63,27.10,30.82,0.1500,0.1000,0.1500,False,True,False,False
tfr1_l62_s621895_mpnn3,30.59,26.84,30.86,0.1500,0.1100,0.1500,False,True,False,False
tfr1_l62_s621895_mpnn5,30.68,27.47,30.98,0.1500,0.1000,0.1500,False,True,False,False
tfr1_l62_s621895_mpnn6,30.59,27.04,30.89,0.1500,0.1000,0.1500,False,True,False,False
tfr1_l62_s621895_mpnn7,30.68,27.10,31.06,0.1500,0.1000,0.1500,False,True,False,False
tfr1_l62_s743484_mpnn11,30.40,26.70,30.56,0.1600,0.1100,0.1600,False,True,False,False
tfr1_l62_s743484_mpnn12,30.49,27.15,30.60,0.1500,0.1000,0.1600,False,True,False,False
tfr1_l62_s743484_mpnn13,30.42,26.99,30.71,0.1600,0.1100,0.1500,False,True,False,False
tfr1_l62_s743484_mpnn14,30.44,26.72,30.63,0.1600,0.1100,0.1500,False,True,False,False
tfr1_l62_s743484_mpnn15,30.47,27.02,30.63,0.1600,0.1000,0.1600,False,True,False,False
tfr1_l62_s743484_mpnn17,30.46,26.61,30.70,0.1600,0.1100,0.1500,False,True,False,False
tfr1_l62_s743484_mpnn18,30.47,26.98,30.63,0.1500,0.1100,0.1500,False,True,False,False
tfr1_l62_s743484_mpnn19,30.42,26.73,30.66,0.1600,0.1100,0.1500,False,True,False,False
tfr1_l62_s743484_mpnn2,30.44,26.94,30.63,0.1600,0.1100,0.1500,False,True,False,False
tfr1_l62_s743484_mpnn20,30.48,26.94,30.67,0.1500,0.1100,0.1500,False,True,False,False
tfr1_l62_s743484_mpnn3,30.46,27.23,30.81,0.1600,0.1000,0.1500,False,True,False,False
tfr1_l62_s743484_mpnn4,30.52,27.37,30.69,0.1500,0.1000,0.1500,False,True,False,False
tfr1_l62_s743484_mpnn5,30.43,26.92,30.64,0.1600,0.1000,0.1600,False,True,False,False
tfr1_l62_s743484_mpnn6,30.43,27.06,30.64,0.1600,0.1000,0.1600,False,True,False,False
tfr1_l62_s743484_mpnn7,30.46,26.68,30.60,0.1600,0.1100,0.1600,False,True,False,False
tfr1_l62_s743484_mpnn8,30.51,27.09,30.62,0.1500,0.1000,0.1600,False,True,False,False
tfr1_l63_s626453_mpnn11,30.84,27.53,30.91,0.1400,0.1000,0.1500,False,True,False,False
tfr1_l63_s626453_mpnn12,30.85,27.42,30.95,0.1400,0.1000,0.1500,False,True,False,False
tfr1_l63_s626453_mpnn13,30.74,27.48,30.97,0.1500,0.1000,0.1500,False,True,False,False
tfr1_l63_s626453_mpnn15,30.86,27.34,30.95,0.1500,0.1000,0.1500,False,True,False,False
tfr1_l63_s626453_mpnn16,30.81,27.65,30.90,0.1500,0.0900,0.1500,False,True,False,False
tfr1_l63_s626453_mpnn17,30.83,27.19,30.97,0.1500,0.1000,0.1500,False,True,False,False
tfr1_l63_s626453_mpnn18,30.88,27.40,31.03,0.1500,0.1000,0.1500,False,True,False,False
tfr1_l63_s626453_mpnn19,30.83,27.47,30.95,0.1400,0.1000,0.1500,False,True,False,False
tfr1_l63_s626453_mpnn2,30.81,27.50,30.96,0.1500,0.1000,0.1500,False,True,False,False
tfr1_l63_s626453_mpnn20,30.84,27.38,30.97,0.1400,0.1000,0.1500,False,True,False,False
tfr1_l63_s626453_mpnn8,30.82,25.75,30.91,0.1400,0.6800,0.1500,False,True,False,False
tfr1_l64_s379672_mpnn1,30.23,26.83,30.75,0.1600,0.1600,0.1500,False,True,False,False
tfr1_l64_s426943_mpnn17,29.91,26.22,30.88,0.1600,0.2300,0.1500,False,True,False,False
tfr1_l64_s641479_mpnn10,29.88,27.06,30.78,0.1700,0.1100,0.1500,False,True,False,False
tfr1_l64_s641479_mpnn12,29.66,27.19,30.68,0.1700,0.1000,0.1500,False,True,False,False
tfr1_l64_s641479_mpnn14,29.45,26.94,30.51,0.1700,0.1900,0.1600,False,True,False,False
tfr1_l64_s641479_mpnn15,29.52,27.02,30.66,0.1800,0.1300,0.1500,False,True,False,False
tfr1_l64_s641479_mpnn16,29.21,26.98,30.65,0.1800,0.2000,0.1500,False,True,False,False
tfr1_l64_s641479_mpnn17,29.21,27.19,30.62,0.1800,0.1600,0.1500,False,True,False,False
tfr1_l64_s641479_mpnn18,29.82,26.50,30.58,0.1700,0.4500,0.1600,False,True,False,False
tfr1_l64_s641479_mpnn2,29.73,27.18,30.65,0.1700,0.1700,0.1500,False,True,False,False
tfr1_l64_s641479_mpnn20,29.71,26.32,30.72,0.1800,0.2300,0.1500,False,True,False,False
tfr1_l64_s641479_mpnn3,30.18,27.32,30.65,0.1600,0.1700,0.1500,False,True,False,False
tfr1_l64_s641479_mpnn5,30.07,26.87,30.68,0.1700,0.3100,0.1500,False,True,False,False
tfr1_l64_s641479_mpnn6,29.37,26.39,30.55,0.1800,0.2000,0.1600,False,True,False,False
tfr1_l64_s641479_mpnn7,29.63,27.06,30.75,0.1700,0.1200,0.1500,False,True,False,False
tfr1_l64_s641479_mpnn9,29.33,26.48,30.72,0.1800,0.4200,0.1500,False,True,False,False
tfr1_l65_s239163_mpnn2,29.90,27.67,30.83,0.1700,0.1000,0.1500,False,True,False,False
tfr1_l65_s239163_mpnn3,30.21,27.84,30.91,0.1600,0.0900,0.1500,False,True,False,False
tfr1_l65_s239163_mpnn7,30.73,27.72,30.83,0.1500,0.0900,0.1500,False,True,False,False
tfr1_l65_s392335_mpnn14,29.53,28.52,30.88,0.1700,0.0800,0.1500,False,True,False,False
tfr1_l65_s392335_mpnn2,30.31,29.09,30.97,0.1500,0.0800,0.1500,False,True,False,False
tfr1_l65_s392335_mpnn4,30.07,29.18,30.82,0.1600,0.0700,0.1600,False,True,False,False
tfr1_l65_s392335_mpnn7,30.24,28.81,30.95,0.1600,0.0800,0.1500,False,True,False,False
tfr1_l65_s733072_mpnn10,30.48,25.27,30.78,0.1600,0.5900,0.1500,False,True,False,False
tfr1_l65_s733072_mpnn11,30.55,25.29,30.68,0.1500,0.6000,0.1500,False,True,False,False
tfr1_l65_s733072_mpnn12,30.42,24.82,30.68,0.1500,0.7300,0.1500,False,True,False,False
tfr1_l65_s733072_mpnn14,30.85,27.55,30.65,0.1400,0.0900,0.1500,False,True,False,False
tfr1_l65_s733072_mpnn15,30.84,27.34,30.65,0.1400,0.1000,0.1500,False,True,False,False
tfr1_l65_s733072_mpnn17,29.80,25.70,30.63,0.1700,0.5200,0.1600,False,True,False,False
tfr1_l65_s733072_mpnn18,29.96,25.94,30.70,0.1700,0.5200,0.1500,False,True,False,False
tfr1_l65_s733072_mpnn19,30.17,27.73,30.61,0.1600,0.0900,0.1500,False,True,False,False
tfr1_l65_s733072_mpnn2,30.04,28.13,30.71,0.1600,0.0900,0.1500,False,True,False,False
tfr1_l65_s733072_mpnn20,30.45,27.80,30.68,0.1600,0.0900,0.1500,False,True,False,False
tfr1_l65_s733072_mpnn3,30.39,27.68,30.63,0.1600,0.0900,0.1600,False,True,False,False
tfr1_l65_s733072_mpnn5,29.95,27.62,30.79,0.1600,0.0900,0.1500,False,True,False,False
tfr1_l65_s733072_mpnn6,30.42,27.84,30.61,0.1600,0.0900,0.1500,False,True,False,False
tfr1_l65_s733072_mpnn7,30.11,27.17,30.71,0.1600,0.1000,0.1500,False,True,False,False
tfr1_l65_s733072_mpnn8,30.17,27.82,30.70,0.1600,0.0900,0.1500,False,True,False,False
tfr1_l65_s733072_mpnn9,30.41,27.53,30.65,0.1600,0.0900,0.1500,False,True,False,False
tfr1_l66_s273272_mpnn1,30.20,27.29,30.75,0.1600,0.1200,0.1500,False,True,False,False
tfr1_l66_s273272_mpnn11,30.02,27.25,30.74,0.1600,0.1300,0.1500,False,True,False,False
tfr1_l66_s273272_mpnn12,29.94,27.13,30.80,0.1600,0.1200,0.1500,False,True,False,False
tfr1_l66_s273272_mpnn13,30.00,27.57,30.81,0.1700,0.1000,0.1500,False,True,False,False
tfr1_l66_s273272_mpnn14,29.79,27.17,30.75,0.1700,0.1600,0.1500,False,True,False,False
tfr1_l66_s273272_mpnn15,29.99,27.57,30.77,0.1600,0.1400,0.1500,False,True,False,False
tfr1_l66_s273272_mpnn16,29.96,27.07,30.76,0.1700,0.1200,0.1500,False,True,False,False
tfr1_l66_s273272_mpnn17,30.21,27.25,30.78,0.1600,0.1300,0.1500,False,True,False,False
tfr1_l66_s273272_mpnn18,30.01,27.51,30.81,0.1600,0.1000,0.1500,False,True,False,False
tfr1_l66_s273272_mpnn2,30.07,27.33,30.87,0.1600,0.1200,0.1500,False,True,False,False
tfr1_l66_s273272_mpnn20,30.14,27.32,30.76,0.1600,0.1000,0.1500,False,True,False,False
tfr1_l66_s273272_mpnn3,29.83,27.05,30.76,0.1700,0.1000,0.1500,False,True,False,False
tfr1_l66_s273272_mpnn5,29.95,27.13,30.75,0.1700,0.1000,0.1500,False,True,False,False
tfr1_l66_s273272_mpnn6,30.10,27.39,30.78,0.1600,0.1100,0.1500,False,True,False,False
tfr1_l66_s273272_mpnn7,30.17,27.57,30.82,0.1600,0.0900,0.1500,False,True,False,False
tfr1_l66_s273272_mpnn8,29.89,27.05,30.80,0.1700,0.1400,0.1500,False,True,False,False
tfr1_l66_s273272_mpnn9,30.10,27.58,30.82,0.1600,0.1000,0.1500,False,True,False,False
tfr1_l66_s564847_mpnn1,30.74,27.37,31.00,0.1500,0.1000,0.1500,False,True,False,False
tfr1_l66_s564847_mpnn11,30.82,27.40,31.04,0.1500,0.1300,0.1500,False,True,False,False
tfr1_l66_s564847_mpnn15,30.73,26.62,30.72,0.1500,0.1900,0.1500,False,True,False,False
tfr1_l66_s564847_mpnn17,30.79,27.27,30.96,0.1500,0.1100,0.1500,False,True,False,False
tfr1_l66_s564847_mpnn19,30.96,27.75,31.04,0.1400,0.1000,0.1500,False,True,False,False
tfr1_l66_s564847_mpnn3,30.69,27.39,30.82,0.1500,0.1200,0.1500,False,True,False,False
tfr1_l66_s564847_mpnn4,30.84,27.65,31.03,0.1500,0.1100,0.1500,False,True,False,False
tfr1_l66_s564847_mpnn5,30.86,27.55,31.03,0.1400,0.1900,0.1500,False,True,False,False
tfr1_l66_s564847_mpnn6,30.83,27.00,31.04,0.1500,0.1800,0.1500,False,True,False,False
tfr1_l66_s564847_mpnn7,30.70,27.12,30.69,0.1500,0.1400,0.1500,False,True,False,False
tfr1_l66_s564847_mpnn9,30.82,27.50,31.01,0.1500,0.1000,0.1500,False,True,False,False
tfr1_l66_s606836_mpnn1,30.78,27.22,30.75,0.1500,0.0900,0.1500,False,True,False,False
tfr1_l66_s606836_mpnn14,30.70,26.79,30.72,0.1500,0.5900,0.1500,False,True,False,False
tfr1_l66_s606836_mpnn6,30.78,27.62,30.71,0.1500,0.2200,0.1500,False,True,False,False
