design_id,pae_9CO4,pae_9CKI,pae_9CK6,pae_7Q4B,pae_7Q4M,pae_6SHS,pae_1IYT,pae_Ab40_monomer,iptm_9CO4,iptm_9CKI,iptm_9CK6,iptm_7Q4B,iptm_7Q4M,iptm_6SHS,iptm_1IYT,iptm_Ab40_monomer,pass_positive,pass_all_negative,pass_stage3
ab42_l78_s597404_mpnn16,21.39,21.40,21.39,21.39,20.81,20.66,18.13,18.20,0.1400,0.1400,0.1400,0.1400,0.1500,0.1800,0.1800,0.1700,False,True,False
ab42_l78_s597404_mpnn9,20.71,21.12,20.71,20.71,20.41,20.61,17.79,18.18,0.1500,0.1500,0.1500,0.1500,0.1600,0.1800,0.1800,0.1700,False,True,False
ab42_l79_s120913_mpnn1,21.33,21.33,21.33,21.36,20.74,21.67,18.58,19.09,0.1300,0.1300,0.1300,0.1300,0.1500,0.1500,0.1400,0.1300,False,True,False
ab42_l79_s120913_mpnn2,21.05,21.05,21.05,21.21,21.36,21.49,18.42,18.47,0.1400,0.1400,0.1400,0.1400,0.1300,0.1500,0.1600,0.1600,False,True,False
ab42_l79_s867664_mpnn2,21.60,21.60,21.60,21.58,21.00,22.12,19.50,19.52,0.1200,0.1200,0.1200,0.1200,0.1400,0.1300,0.1400,0.1400,False,True,False
ab42_l79_s867664_mpnn5,21.91,21.91,21.91,21.89,21.31,21.77,19.27,19.11,0.1200,0.1200,0.1200,0.1200,0.1400,0.1500,0.1500,0.1500,False,True,False
ab42_l79_s961538_mpnn3,20.86,20.86,20.86,20.82,20.30,21.11,17.81,17.48,0.1400,0.1400,0.1400,0.1400,0.1500,0.1600,0.1800,0.1800,False,True,False
ab42_l79_s961538_mpnn4,21.87,21.87,21.87,21.85,20.70,22.23,18.05,17.80,0.1200,0.1200,0.1200,0.1200,0.1400,0.1400,0.1800,0.1800,False,True,False
ab42_l80_s980366_mpnn2,21.70,21.70,21.70,21.70,20.85,22.14,19.93,19.46,0.1300,0.1300,0.1300,0.1300,0.1500,0.1300,0.1300,0.1400,False,True,False
ab42_l81_s65308_mpnn1,22.53,22.54,22.54,22.54,21.81,22.37,20.42,20.50,0.1200,0.1200,0.1200,0.1200,0.1300,0.1300,0.1300,0.1300,False,True,False
ab42_l81_s65308_mpnn6,22.37,22.31,22.18,22.18,21.55,22.32,20.60,20.52,0.1200,0.1200,0.1200,0.1200,0.1300,0.1300,0.1400,0.1300,False,True,False
ab42_l82_s480128_mpnn13,21.76,21.82,21.79,21.75,21.49,21.79,18.81,19.76,0.1500,0.1500,0.1500,0.1500,0.1400,0.1600,0.1600,0.1400,False,True,False
ab42_l82_s480128_mpnn17,20.94,20.98,20.94,20.93,20.96,21.13,18.49,18.96,0.1600,0.1600,0.1600,0.1600,0.1500,0.1600,0.1800,0.1600,False,True,False
ab42_l82_s946181_mpnn6,21.54,21.38,21.24,21.39,20.70,21.19,18.82,18.97,0.1400,0.1400,0.1400,0.1400,0.1500,0.1600,0.1600,0.1500,False,True,False
ab42_l82_s946181_mpnn9,21.60,21.77,21.65,21.59,20.70,21.30,19.13,19.15,0.1400,0.1400,0.1400,0.1500,0.1500,0.1600,0.1600,0.1500,False,True,False
ab42_l82_s967366_mpnn11,21.10,21.12,21.10,21.13,20.32,20.78,18.19,18.15,0.1400,0.1400,0.1400,0.1400,0.1700,0.1700,0.1900,0.2000,False,True,False
ab42_l84_s31762_mpnn5,22.93,22.74,22.92,22.93,20.88,22.79,20.28,20.79,0.1200,0.1200,0.1200,0.1200,0.1700,0.1300,0.1300,0.1200,False,True,False
ab42_l84_s443975_mpnn10,21.52,21.39,21.53,21.52,20.85,21.64,18.99,18.99,0.1400,0.1500,0.1400,0.1400,0.1500,0.1600,0.1700,0.1700,False,True,False
ab42_l84_s443975_mpnn2,21.37,20.86,21.34,21.37,20.89,21.54,19.11,17.99,0.1500,0.1600,0.1500,0.1500,0.1500,0.1600,0.1700,0.1900,False,True,False
ab42_l85_s228379_mpnn6,22.13,22.14,22.13,22.13,21.73,21.85,19.59,19.68,0.1400,0.1400,0.1400,0.1400,0.1300,0.1500,0.1600,0.1500,False,True,False
ab42_l85_s230267_mpnn3,21.81,21.85,21.81,21.81,21.69,21.78,20.87,20.22,0.1400,0.1400,0.1400,0.1400,0.1500,0.1600,0.1400,0.1400,False,True,False
ab42_l85_s230267_mpnn4,22.33,22.30,22.33,22.33,21.99,21.85,20.95,20.87,0.1300,0.1300,0.1300,0.1300,0.1400,0.1600,0.1300,0.1300,False,True,False
ab42_l86_s453481_mpnn1,21.30,21.30,21.14,21.18,20.91,20.93,19.31,19.34,0.1400,0.1400,0.1400,0.1400,0.1500,0.1600,0.1600,0.1500,False,True,False
ab42_l86_s453481_mpnn3,21.19,21.19,20.85,20.84,20.91,20.72,18.72,18.64,0.1400,0.1400,0.1500,0.1500,0.1500,0.1700,0.1700,0.1700,False,True,False
ab42_l86_s857331_mpnn12,22.41,22.41,22.55,22.76,21.69,21.95,18.57,18.33,0.1200,0.1200,0.1200,0.1200,0.1400,0.1500,0.2000,0.1900,False,True,False
ab42_l86_s857331_mpnn4,23.12,23.12,23.22,23.13,22.35,23.27,19.13,19.33,0.1100,0.1100,0.1100,0.1200,0.1200,0.1300,0.1600,0.1600,False,True,False
ab42_l87_s716952_mpnn20,22.32,22.35,22.35,22.35,21.69,22.21,19.57,20.05,0.1200,0.1200,0.1200,0.1200,0.1300,0.1400,0.1500,0.1400,False,True,False
ab42_l89_s578974_mpnn11,21.52,21.52,21.54,21.52,21.06,21.48,19.06,19.00,0.1400,0.1400,0.1400,0.1400,0.1600,0.1700,0.1800,0.1700,False,True,False
ab42_l89_s878084_mpnn3,21.89,21.92,21.92,21.89,20.76,21.68,18.60,18.52,0.1300,0.1300,0.1300,0.1300,0.1600,0.1600,0.1700,0.1600,False,True,False
ab42_l89_s878084_mpnn4,21.62,21.66,21.67,21.62,20.60,21.08,18.48,18.51,0.1400,0.1400,0.1400,0.1400,0.1600,0.1700,0.1800,0.1800,False,True,False
ab42_l90_s311742_mpnn16,21.45,21.45,21.45,21.43,21.44,21.39,20.24,20.21,0.1500,0.1500,0.1500,0.1500,0.1500,0.1700,0.1500,0.1400,False,True,False
ab42_l90_s311742_mpnn3,21.79,21.79,21.79,21.79,22.00,22.10,20.68,20.70,0.1400,0.1400,0.1400,0.1400,0.1400,0.1500,0.1400,0.1400,False,True,False
ab42_l90_s822708_mpnn14,21.90,21.90,21.90,21.90,20.40,21.55,18.50,17.73,0.1500,0.1500,0.1500,0.1500,0.1700,0.1600,0.1800,0.2000,False,True,False
ab42_l90_s822708_mpnn7,21.57,21.57,21.57,21.57,21.41,21.60,19.00,18.49,0.1500,0.1500,0.1500,0.1500,0.1500,0.1600,0.1600,0.1800,False,True,False
