id,ab42_design,tfr1_design,domain_order,linker_id,linker_name,linker_len,total_len,arm1_plddt,arm2_plddt,mean_arm_plddt,min_arm_plddt,linker_plddt,inter_domain_pae,ptm,pass_arm1_plddt,pass_arm2_plddt,pass_inter_pae,pass_ptm_soft,pass_all,rank,panel_selected
fusion_s311742m16_s938332m1_v4,ab42_l90_s311742_mpnn16,tfr1_l53_s938332_mpnn1,ab-tfr1,v4,EAAAK,17,160,92.07,89.39,90.73,89.39,80.58,20.76,0.6,True,True,True,False,True,19,True
fusion_s578974m11_s694877m7_v1,ab42_l89_s578974_mpnn11,tfr1_l51_s694877_mpnn7,ab-tfr1,v1,GS3,15,155,93.07,88.38,90.72,88.38,43.98,24.17,0.56,True,True,True,False,True,20,True
fusion_s578974m11_s694877m7_v2,ab42_l89_s578974_mpnn11,tfr1_l51_s694877_mpnn7,ab-tfr1,v2,GS4,20,160,93.03,88.31,90.67,88.31,41.4,24.55,0.55,True,True,True,False,True,21,True
fusion_s578974m11_s694877m7_v3,ab42_l89_s578974_mpnn11,tfr1_l51_s694877_mpnn7,ab-tfr1,v3,GS5,25,165,92.98,88.21,90.59,88.21,40.26,24.78,0.54,True,True,True,False,True,22,False
fusion_s967366m11_s422992m5_v9,ab42_l82_s967366_mpnn11,tfr1_l70_s422992_mpnn5,tfr1-ab,v9,EAAAK,17,169,89.78,91.22,90.5,89.78,62.44,24.34,0.5,True,True,True,False,True,23,False
fusion_s843399m18_s422992m5_v9,ab42_l71_s843399_mpnn18,tfr1_l70_s422992_mpnn5,tfr1-ab,v9,EAAAK,17,158,87.75,93.18,90.47,87.75,68.89,22.33,0.51,True,True,True,False,True,24,False
fusion_s578974m11_s694877m7_v10,ab42_l89_s578974_mpnn11,tfr1_l51_s694877_mpnn7,tfr1-ab,v10,PAPAP,5,145,87.45,93.49,90.47,87.45,65.44,21.51,0.6,True,True,True,False,True,25,False
fusion_s967366m11_s766452m12_v8,ab42_l82_s967366_mpnn11,tfr1_l60_s766452_mpnn12,tfr1-ab,v8,GS5,25,167,87.32,93.55,90.44,87.32,39.0,23.59,0.51,True,True,True,False,True,26,True
fusion_s967366m11_s422992m5_v2,ab42_l82_s967366_mpnn11,tfr1_l70_s422992_mpnn5,ab-tfr1,v2,GS4,20,172,91.5,89.3,90.4,89.3,40.99,21.67,0.51,True,True,True,False,True,27,False
fusion_s578974m11_s422992m5_v8,ab42_l89_s578974_mpnn11,tfr1_l70_s422992_mpnn5,tfr1-ab,v8,GS5,25,184,88.89,91.86,90.38,88.89,41.6,20.69,0.53,True,True,True,False,True,28,False
fusion_s480128m17_s255454m5_v4,ab42_l82_s480128_mpnn17,tfr1_l51_s255454_mpnn5,ab-tfr1,v4,EAAAK,17,150,92.91,87.84,90.38,87.84,68.59,23.09,0.58,True,True,True,False,True,29,True
fusion_s967366m11_s422992m5_v3,ab42_l82_s967366_mpnn11,tfr1_l70_s422992_mpnn5,ab-tfr1,v3,GS5,25,177,91.42,89.29,90.36,89.29,41.63,21.62,0.5,True,True,True,False,True,30,False
fusion_s967366m11_s766452m12_v7,ab42_l82_s967366_mpnn11,tfr1_l60_s766452_mpnn12,tfr1-ab,v7,GS4,20,162,87.39,93.33,90.36,87.39,39.5,23.82,0.52,True,True,True,False,True,31,True
fusion_s311742m16_s938332m1_v5,ab42_l90_s311742_mpnn16,tfr1_l53_s938332_mpnn1,ab-tfr1,v5,PAPAP,5,148,90.14,90.53,90.34,90.14,57.77,23.42,0.56,True,True,True,False,True,32,False
fusion_s578974m11_s255454m5_v4,ab42_l89_s578974_mpnn11,tfr1_l51_s255454_mpnn5,ab-tfr1,v4,EAAAK,17,157,92.65,87.99,90.32,87.99,72.76,23.16,0.59,True,True,True,False,True,33,False
fusion_s843399m18_s422992m5_v5,ab42_l71_s843399_mpnn18,tfr1_l70_s422992_mpnn5,ab-tfr1,v5,PAPAP,5,146,91.06,89.43,90.25,89.43,56.47,21.82,0.5,True,True,True,False,True,34,False
fusion_s967366m11_s422992m5_v1,ab42_l82_s967366_mpnn11,tfr1_l70_s422992_mpnn5,ab-tfr1,v1,GS3,15,167,91.56,88.94,90.25,88.94,42.3,21.24,0.53,True,True,True,False,True,35,False
fusion_s967366m11_s422992m5_v8,ab42_l82_s967366_mpnn11,tfr1_l70_s422992_mpnn5,tfr1-ab,v8,GS5,25,177,88.88,91.59,90.23,88.88,40.89,21.53,0.5,True,True,True,False,True,36,False
fusion_s843399m18_s766452m12_v4,ab42_l71_s843399_mpnn18,tfr1_l60_s766452_mpnn12,ab-tfr1,v4,EAAAK,17,148,94.1,86.37,90.23,86.37,82.34,19.14,0.55,True,True,True,False,True,37,False
fusion_s843399m18_s694877m7_v3,ab42_l71_s843399_mpnn18,tfr1_l51_s694877_mpnn7,ab-tfr1,v3,GS5,25,147,92.47,87.93,90.2,87.93,37.82,23.62,0.48,True,True,True,False,True,38,False
fusion_s967366m11_s422992m5_v7,ab42_l82_s967366_mpnn11,tfr1_l70_s422992_mpnn5,tfr1-ab,v7,GS4,20,172,88.63,91.75,90.19,88.63,41.12,20.25,0.52,True,True,True,False,True,39,False
fusion_s967366m11_s422992m5_v6,ab42_l82_s967366_mpnn11,tfr1_l70_s422992_mpnn5,tfr1-ab,v6,GS3,15,167,88.56,91.81,90.19,88.56,42.94,20.39,0.53,True,True,True,False,True,40,False
fusion_s480128m17_s422992m5_v4,ab42_l82_s480128_mpnn17,tfr1_l70_s422992_mpnn5,ab-tfr1,v4,EAAAK,17,169,91.58,88.68,90.13,88.68,64.38,22.83,0.53,True,True,True,False,True,41,False
fusion_s311742m16_s938332m1_v1,ab42_l90_s311742_mpnn16,tfr1_l53_s938332_mpnn1,ab-tfr1,v1,GS3,15,158,89.32,90.9,90.11,89.32,45.88,23.46,0.54,True,True,True,False,True,42,False
fusion_s578974m11_s766452m12_v1,ab42_l89_s578974_mpnn11,tfr1_l60_s766452_mpnn12,ab-tfr1,v1,GS3,15,164,93.17,86.99,90.08,86.99,44.24,23.49,0.55,True,True,True,False,True,43,False
fusion_s843399m18_s422992m5_v1,ab42_l71_s843399_mpnn18,tfr1_l70_s422992_mpnn5,ab-tfr1,v1,GS3,15,156,90.33,89.81,90.07,89.81,40.56,22.27,0.48,True,True,True,False,True,44,False
fusion_s843399m18_s255454m5_v4,ab42_l71_s843399_mpnn18,tfr1_l51_s255454_mpnn5,ab-tfr1,v4,EAAAK,17,139,94.27,85.88,90.07,85.88,75.95,23.04,0.55,True,True,True,False,True,45,False
fusion_s311742m16_s938332m1_v2,ab42_l90_s311742_mpnn16,tfr1_l53_s938332_mpnn1,ab-tfr1,v2,GS4,20,163,89.12,90.86,89.99,89.12,44.61,23.91,0.53,True,True,True,False,True,46,False
fusion_s578974m11_s766452m12_v3,ab42_l89_s578974_mpnn11,tfr1_l60_s766452_mpnn12,ab-tfr1,v3,GS5,25,174,93.31,86.67,89.99,86.67,41.72,23.43,0.53,True,True,True,False,True,47,False
fusion_s578974m11_s766452m12_v2,ab42_l89_s578974_mpnn11,tfr1_l60_s766452_mpnn12,ab-tfr1,v2,GS4,20,169,93.19,86.73,89.96,86.73,42.39,23.36,0.54,True,True,True,False,True,48,False
fusion_s967366m11_s694877m7_v3,ab42_l82_s967366_mpnn11,tfr1_l51_s694877_mpnn7,ab-tfr1,v3,GS5,25,158,92.71,87.16,89.94,87.16,41.72,23.68,0.53,True,True,True,False,True,49,False
fusion_s843399m18_s422992m5_v2,ab42_l71_s843399_mpnn18,tfr1_l70_s422992_mpnn5,ab-tfr1,v2,GS4,20,161,90.05,89.81,89.93,89.81,39.46,22.69,0.47,True,True,True,False,True,50,False
fusion_s967366m11_s766452m12_v6,ab42_l82_s967366_mpnn11,tfr1_l60_s766452_mpnn12,tfr1-ab,v6,GS3,15,157,86.74,93.12,89.93,86.74,40.28,23.52,0.53,True,True,True,False,True,51,False
fusion_s311742m16_s938332m1_v3,ab42_l90_s311742_mpnn16,tfr1_l53_s938332_mpnn1,ab-tfr1,v3,GS5,25,168,89.08,90.67,89.88,89.08,45.37,24.0,0.52,True,True,True,False,True,52,False
fusion_s843399m18_s694877m7_v9,ab42_l71_s843399_mpnn18,tfr1_l51_s694877_mpnn7,tfr1-ab,v9,EAAAK,17,139,86.77,92.93,89.85,86.77,63.94,23.47,0.51,True,True,True,False,True,53,False
fusion_s311742m16_s422992m5_v5,ab42_l90_s311742_mpnn16,tfr1_l70_s422992_mpnn5,ab-tfr1,v5,PAPAP,5,165,89.03,90.64,89.84,89.03,56.99,22.42,0.53,True,True,True,False,True,54,False
fusion_s843399m18_s255454m5_v6,ab42_l71_s843399_mpnn18,tfr1_l51_s255454_mpnn5,tfr1-ab,v6,GS3,15,137,86.58,93.11,89.84,86.58,42.04,23.05,0.51,True,True,True,False,True,55,False
fusion_s480128m17_s938332m1_v4,ab42_l82_s480128_mpnn17,tfr1_l53_s938332_mpnn1,ab-tfr1,v4,EAAAK,17,152,92.81,86.84,89.83,86.84,68.1,23.04,0.57,True,True,True,False,True,56,False
fusion_s578974m11_s255454m5_v2,ab42_l89_s578974_mpnn11,tfr1_l51_s255454_mpnn5,ab-tfr1,v2,GS4,20,160,93.37,86.29,89.83,86.29,45.28,24.86,0.55,True,True,True,False,True,57,False
fusion_s311742m16_s422992m5_v3,ab42_l90_s311742_mpnn16,tfr1_l70_s422992_mpnn5,ab-tfr1,v3,GS5,25,185,88.88,90.76,89.82,88.88,43.05,22.79,0.5,True,True,True,False,True,58,False
fusion_s967366m11_s766452m12_v4,ab42_l82_s967366_mpnn11,tfr1_l60_s766452_mpnn12,ab-tfr1,v4,EAAAK,17,159,93.16,86.49,89.82,86.49,82.79,19.15,0.6,True,True,True,False,True,59,False
fusion_s578974m11_s694877m7_v9,ab42_l89_s578974_mpnn11,tfr1_l51_s694877_mpnn7,tfr1-ab,v9,EAAAK,17,157,87.1,92.42,89.76,87.1,64.12,24.48,0.55,True,True,True,False,True,60,False
fusion_s578974m11_s255454m5_v3,ab42_l89_s578974_mpnn11,tfr1_l51_s255454_mpnn5,ab-tfr1,v3,GS5,25,165,93.32,86.16,89.74,86.16,44.31,25.06,0.54,True,True,True,False,True,61,False
fusion_s967366m11_s694877m7_v10,ab42_l82_s967366_mpnn11,tfr1_l51_s694877_mpnn7,tfr1-ab,v10,PAPAP,5,138,85.89,93.55,89.72,85.89,63.73,20.89,0.59,True,True,True,False,True,62,False
fusion_s843399m18_s422992m5_v3,ab42_l71_s843399_mpnn18,tfr1_l70_s422992_mpnn5,ab-tfr1,v3,GS5,25,166,89.59,89.79,89.69,89.59,39.65,23.1,0.46,True,True,True,False,True,63,False
fusion_s967366m11_s422992m5_v5,ab42_l82_s967366_mpnn11,tfr1_l70_s422992_mpnn5,ab-tfr1,v5,PAPAP,5,157,90.68,88.71,89.69,88.71,53.8,20.37,0.55,True,True,True,False,True,64,False
fusion_s843399m18_s255454m5_v10,ab42_l71_s843399_mpnn18,tfr1_l51_s255454_mpnn5,tfr1-ab,v10,PAPAP,5,127,85.21,94.13,89.67,85.21,62.01,23.62,0.53,True,True,True,False,True,65,False
fusion_s311742m16_s694877m7_v1,ab42_l90_s311742_mpnn16,tfr1_l51_s694877_mpnn7,ab-tfr1,v1,GS3,15,156,90.43,88.89,89.66,88.89,42.75,24.29,0.54,True,True,True,False,True,66,False
fusion_s311742m16_s766452m12_v4,ab42_l90_s311742_mpnn16,tfr1_l60_s766452_mpnn12,ab-tfr1,v4,EAAAK,17,167,91.93,87.39,89.66,87.39,80.96,19.34,0.59,True,True,True,False,True,67,False
fusion_s578974m11_s766452m12_v10,ab42_l89_s578974_mpnn11,tfr1_l60_s766452_mpnn12,tfr1-ab,v10,PAPAP,5,154,85.69,93.61,89.65,85.69,62.46,23.3,0.56,True,True,True,False,True,68,False
fusion_s843399m18_s694877m7_v4,ab42_l71_s843399_mpnn18,tfr1_l51_s694877_mpnn7,ab-tfr1,v4,EAAAK,17,139,93.48,85.8,89.64,85.8,77.32,20.87,0.55,True,True,True,False,True,69,False
fusion_s578974m11_s766452m12_v8,ab42_l89_s578974_mpnn11,tfr1_l60_s766452_mpnn12,tfr1-ab,v8,GS5,25,174,86.3,92.96,89.63,86.3,41.68,22.04,0.53,True,True,True,False,True,70,False
fusion_s843399m18_s766452m12_v8,ab42_l71_s843399_mpnn18,tfr1_l60_s766452_mpnn12,tfr1-ab,v8,GS5,25,156,85.15,94.1,89.62,85.15,40.98,25.75,0.45,True,True,True,False,True,71,False
fusion_s578974m11_s766452m12_v7,ab42_l89_s578974_mpnn11,tfr1_l60_s766452_mpnn12,tfr1-ab,v7,GS4,20,169,86.4,92.82,89.61,86.4,42.23,22.08,0.54,True,True,True,False,True,72,False
fusion_s578974m11_s938332m1_v9,ab42_l89_s578974_mpnn11,tfr1_l53_s938332_mpnn1,tfr1-ab,v9,EAAAK,17,159,86.86,92.18,89.52,86.86,60.41,25.98,0.54,True,True,True,False,True,73,False
fusion_s578974m11_s766452m12_v6,ab42_l89_s578974_mpnn11,tfr1_l60_s766452_mpnn12,tfr1-ab,v6,GS3,15,164,86.12,92.87,89.5,86.12,42.2,22.06,0.55,True,True,True,False,True,74,False
fusion_s843399m18_s694877m7_v1,ab42_l71_s843399_mpnn18,tfr1_l51_s694877_mpnn7,ab-tfr1,v1,GS3,15,137,92.64,86.32,89.48,86.32,40.96,22.76,0.5,True,True,True,False,True,75,False
fusion_s578974m11_s422992m5_v3,ab42_l89_s578974_mpnn11,tfr1_l70_s422992_mpnn5,ab-tfr1,v3,GS5,25,184,92.21,86.74,89.47,86.74,39.71,22.92,0.51,True,True,True,False,True,76,False
fusion_s311742m16_s694877m7_v2,ab42_l90_s311742_mpnn16,tfr1_l51_s694877_mpnn7,ab-tfr1,v2,GS4,20,161,90.23,88.67,89.45,88.67,40.61,24.24,0.53,True,True,True,False,True,77,False
fusion_s578974m11_s255454m5_v1,ab42_l89_s578974_mpnn11,tfr1_l51_s255454_mpnn5,ab-tfr1,v1,GS3,15,155,93.17,85.73,89.45,85.73,47.46,24.14,0.56,True,True,True,False,True,78,False
fusion_s967366m11_s255454m5_v5,ab42_l82_s967366_mpnn11,tfr1_l51_s255454_mpnn5,ab-tfr1,v5,PAPAP,5,138,92.27,86.62,89.44,86.62,57.03,21.87,0.59,True,True,True,False,True,79,False
fusion_s578974m11_s422992m5_v1,ab42_l89_s578974_mpnn11,tfr1_l70_s422992_mpnn5,ab-tfr1,v1,GS3,15,174,92.04,86.81,89.43,86.81,44.01,22.69,0.54,True,True,True,False,True,80,False
fusion_s967366m11_s938332m1_v4,ab42_l82_s967366_mpnn11,tfr1_l53_s938332_mpnn1,ab-tfr1,v4,EAAAK,17,152,91.56,87.27,89.41,87.27,75.76,22.32,0.58,True,True,True,False,True,81,False
fusion_s967366m11_s255454m5_v7,ab42_l82_s967366_mpnn11,tfr1_l51_s255454_mpnn5,tfr1-ab,v7,GS4,20,153,85.38,93.44,89.41,85.38,40.38,23.75,0.54,True,True,True,False,True,82,False
fusion_s311742m16_s255454m5_v4,ab42_l90_s311742_mpnn16,tfr1_l51_s255454_mpnn5,ab-tfr1,v4,EAAAK,17,158,92.5,86.3,89.4,86.3,78.61,22.24,0.61,True,True,True,True,True,83,False
fusion_s967366m11_s694877m7_v4,ab42_l82_s967366_mpnn11,tfr1_l51_s694877_mpnn7,ab-tfr1,v4,EAAAK,17,150,93.26,85.43,89.34,85.43,76.77,21.36,0.59,True,True,True,False,True,84,False
fusion_s311742m16_s694877m7_v3,ab42_l90_s311742_mpnn16,tfr1_l51_s694877_mpnn7,ab-tfr1,v3,GS5,25,166,89.86,88.8,89.33,88.8,39.22,24.52,0.52,True,True,True,False,True,85,False
fusion_s843399m18_s766452m12_v9,ab42_l71_s843399_mpnn18,tfr1_l60_s766452_mpnn12,tfr1-ab,v9,EAAAK,17,148,85.89,92.76,89.33,85.89,62.58,23.65,0.49,True,True,True,False,True,86,False
fusion_s311742m16_s422992m5_v2,ab42_l90_s311742_mpnn16,tfr1_l70_s422992_mpnn5,ab-tfr1,v2,GS4,20,180,88.78,89.84,89.31,88.78,43.59,23.04,0.51,True,True,True,False,True,87,False
fusion_s578974m11_s255454m5_v7,ab42_l89_s578974_mpnn11,tfr1_l51_s255454_mpnn5,tfr1-ab,v7,GS4,20,160,85.58,93.04,89.31,85.58,40.7,23.03,0.55,True,True,True,False,True,88,False
fusion_s843399m18_s938332m1_v4,ab42_l71_s843399_mpnn18,tfr1_l53_s938332_mpnn1,ab-tfr1,v4,EAAAK,17,141,93.54,85.06,89.3,85.06,74.43,23.36,0.53,True,True,True,False,True,89,False
fusion_s843399m18_s255454m5_v3,ab42_l71_s843399_mpnn18,tfr1_l51_s255454_mpnn5,ab-tfr1,v3,GS5,25,147,93.07,85.52,89.29,85.52,42.26,24.51,0.48,True,True,True,False,True,90,False
fusion_s480128m17_s766452m12_v4,ab42_l82_s480128_mpnn17,tfr1_l60_s766452_mpnn12,ab-tfr1,v4,EAAAK,17,159,92.02,86.52,89.27,86.52,75.43,20.04,0.57,True,True,True,False,True,91,False
fusion_s578974m11_s694877m7_v8,ab42_l89_s578974_mpnn11,tfr1_l51_s694877_mpnn7,tfr1-ab,v8,GS5,25,165,86.12,92.42,89.27,86.12,40.89,22.29,0.54,True,True,True,False,True,92,False
fusion_s967366m11_s255454m5_v3,ab42_l82_s967366_mpnn11,tfr1_l51_s255454_mpnn5,ab-tfr1,v3,GS5,25,158,92.5,86.01,89.25,86.01,43.42,23.74,0.53,True,True,True,False,True,93,False
fusion_s578974m11_s766452m12_v4,ab42_l89_s578974_mpnn11,tfr1_l60_s766452_mpnn12,ab-tfr1,v4,EAAAK,17,166,92.69,85.77,89.23,85.77,79.32,20.26,0.58,True,True,True,False,True,94,False
fusion_s967366m11_s766452m12_v1,ab42_l82_s967366_mpnn11,tfr1_l60_s766452_mpnn12,ab-tfr1,v1,GS3,15,157,92.44,85.98,89.21,85.98,40.12,25.1,0.52,True,True,True,False,True,95,False
fusion_s578974m11_s938332m1_v5,ab42_l89_s578974_mpnn11,tfr1_l53_s938332_mpnn1,ab-tfr1,v5,PAPAP,5,147,90.97,87.42,89.19,87.42,60.03,21.7,0.58,True,True,True,False,True,96,False
fusion_s578974m11_s255454m5_v5,ab42_l89_s578974_mpnn11,tfr1_l51_s255454_mpnn5,ab-tfr1,v5,PAPAP,5,145,91.95,86.4,89.18,86.4,57.96,22.06,0.59,True,True,True,False,True,97,False
fusion_s843399m18_s255454m5_v1,ab42_l71_s843399_mpnn18,tfr1_l51_s255454_mpnn5,ab-tfr1,v1,GS3,15,137,92.94,85.41,89.17,85.41,45.63,23.7,0.5,True,True,True,False,True,98,False
fusion_s843399m18_s255454m5_v7,ab42_l71_s843399_mpnn18,tfr1_l51_s255454_mpnn5,tfr1-ab,v7,GS4,20,142,84.81,93.53,89.17,84.81,40.73,23.32,0.49,True,True,True,False,True,99,False
fusion_s311742m16_s694877m7_v4,ab42_l90_s311742_mpnn16,tfr1_l51_s694877_mpnn7,ab-tfr1,v4,EAAAK,17,158,91.28,86.98,89.13,86.98,76.84,20.62,0.6,True,True,True,False,True,100,False
fusion_s843399m18_s694877m7_v6,ab42_l71_s843399_mpnn18,tfr1_l51_s694877_mpnn7,tfr1-ab,v6,GS3,15,137,84.86,93.41,89.13,84.86,43.3,23.79,0.5,True,True,True,False,True,101,False
fusion_s480128m17_s255454m5_v2,ab42_l82_s480128_mpnn17,tfr1_l51_s255454_mpnn5,ab-tfr1,v2,GS4,20,153,90.92,87.33,89.12,87.33,43.73,24.78,0.52,True,True,True,False,True,102,False
fusion_s967366m11_s766452m12_v10,ab42_l82_s967366_mpnn11,tfr1_l60_s766452_mpnn12,tfr1-ab,v10,PAPAP,5,147,84.72,93.41,89.06,84.72,61.43,22.69,0.55,True,True,True,False,True,103,False
fusion_s578974m11_s694877m7_v7,ab42_l89_s578974_mpnn11,tfr1_l51_s694877_mpnn7,tfr1-ab,v7,GS4,20,160,85.7,92.37,89.03,85.7,40.97,22.26,0.55,True,True,True,False,True,104,False
fusion_s578974m11_s422992m5_v5,ab42_l89_s578974_mpnn11,tfr1_l70_s422992_mpnn5,ab-tfr1,v5,PAPAP,5,164,90.33,87.69,89.01,87.69,52.43,23.06,0.54,True,True,True,False,True,105,False
fusion_s480128m17_s766452m12_v3,ab42_l82_s480128_mpnn17,tfr1_l60_s766452_mpnn12,ab-tfr1,v3,GS5,25,167,91.68,86.29,88.99,86.29,38.63,25.13,0.5,True,True,True,False,True,106,False
fusion_s967366m11_s255454m5_v4,ab42_l82_s967366_mpnn11,tfr1_l51_s255454_mpnn5,ab-tfr1,v4,EAAAK,17,150,94.12,83.86,88.99,83.86,77.48,23.25,0.59,True,True,True,False,True,107,False
fusion_s967366m11_s255454m5_v8,ab42_l82_s967366_mpnn11,tfr1_l51_s255454_mpnn5,tfr1-ab,v8,GS5,25,158,84.81,93.09,88.95,84.81,40.49,23.82,0.52,True,True,True,False,True,108,False
fusion_s578974m11_s255454m5_v10,ab42_l89_s578974_mpnn11,tfr1_l51_s255454_mpnn5,tfr1-ab,v10,PAPAP,5,145,84.36,93.54,88.95,84.36,56.35,23.44,0.59,True,True,True,False,True,109,False
fusion_s843399m18_s938332m1_v9,ab42_l71_s843399_mpnn18,tfr1_l53_s938332_mpnn1,tfr1-ab,v9,EAAAK,17,141,85.22,92.62,88.92,85.22,54.44,27.02,0.48,True,True,True,False,True,110,False
fusion_s578974m11_s694877m7_v6,ab42_l89_s578974_mpnn11,tfr1_l51_s694877_mpnn7,tfr1-ab,v6,GS3,15,155,85.64,92.18,88.91,85.64,41.4,22.11,0.57,True,True,True,False,True,111,False
fusion_s480128m17_s422992m5_v9,ab42_l82_s480128_mpnn17,tfr1_l70_s422992_mpnn5,tfr1-ab,v9,EAAAK,17,169,88.41,89.33,88.87,88.41,62.3,22.86,0.49,True,True,True,False,True,112,False
fusion_s480128m17_s766452m12_v2,ab42_l82_s480128_mpnn17,tfr1_l60_s766452_mpnn12,ab-tfr1,v2,GS4,20,162,91.28,86.46,88.87,86.46,41.41,25.31,0.51,True,True,True,False,True,113,False
fusion_s843399m18_s766452m12_v2,ab42_l71_s843399_mpnn18,tfr1_l60_s766452_mpnn12,ab-tfr1,v2,GS4,20,151,92.61,85.1,88.85,85.1,40.59,25.88,0.46,True,True,True,False,True,114,False
fusion_s967366m11_s255454m5_v10,ab42_l82_s967366_mpnn11,tfr1_l51_s255454_mpnn5,tfr1-ab,v10,PAPAP,5,138,84.55,93.15,88.85,84.55,58.45,23.73,0.56,True,True,True,False,True,115,False
fusion_s967366m11_s766452m12_v2,ab42_l82_s967366_mpnn11,tfr1_l60_s766452_mpnn12,ab-tfr1,v2,GS4,20,162,91.97,85.7,88.84,85.7,39.0,25.25,0.51,True,True,True,False,True,116,False
fusion_s311742m16_s422992m5_v1,ab42_l90_s311742_mpnn16,tfr1_l70_s422992_mpnn5,ab-tfr1,v1,GS3,15,175,88.63,88.99,88.81,88.63,44.47,21.95,0.52,True,True,True,False,True,117,False
fusion_s843399m18_s938332m1_v3,ab42_l71_s843399_mpnn18,tfr1_l53_s938332_mpnn1,ab-tfr1,v3,GS5,25,149,91.54,85.99,88.77,85.99,41.66,23.57,0.48,True,True,True,False,True,118,False
