id,ab42_design,tfr1_design,domain_order,linker_id,linker_name,linker_len,total_len,arm1_plddt,arm2_plddt,linker_plddt,inter_domain_pae,ptm,pass_arm1_plddt,pass_arm2_plddt,pass_inter_pae,pass_ptm,pass_all
fusion_s967366m11_s255454m5_v5,ab42_l82_s967366_mpnn11,tfr1_l51_s255454_mpnn5,ab-tfr1,v5,PAPAP,5,138,92.27,86.62,57.03,21.87,0.59,True,True,True,False,False
fusion_s967366m11_s255454m5_v6,ab42_l82_s967366_mpnn11,tfr1_l51_s255454_mpnn5,tfr1-ab,v6,GS3,15,148,83.5,92.38,41.29,22.71,0.56,True,True,True,False,False
fusion_s967366m11_s255454m5_v7,ab42_l82_s967366_mpnn11,tfr1_l51_s255454_mpnn5,tfr1-ab,v7,GS4,20,153,85.38,93.44,40.38,23.75,0.54,True,True,True,False,False
fusion_s967366m11_s255454m5_v8,ab42_l82_s967366_mpnn11,tfr1_l51_s255454_mpnn5,tfr1-ab,v8,GS5,25,158,84.81,93.09,40.49,23.82,0.52,True,True,True,False,False
fusion_s967366m11_s255454m5_v9,ab42_l82_s967366_mpnn11,tfr1_l51_s255454_mpnn5,tfr1-ab,v9,EAAAK,17,150,52.78,87.12,53.7,18.96,0.6,False,True,True,False,False
fusion_s967366m11_s255454m5_v10,ab42_l82_s967366_mpnn11,tfr1_l51_s255454_mpnn5,tfr1-ab,v10,PAPAP,5,138,84.55,93.15,58.45,23.73,0.56,True,True,True,False,False
fusion_s967366m11_s694877m7_v1,ab42_l82_s967366_mpnn11,tfr1_l51_s694877_mpnn7,ab-tfr1,v1,GS3,15,148,83.13,52.29,37.41,20.42,0.58,True,False,True,False,False
fusion_s967366m11_s694877m7_v2,ab42_l82_s967366_mpnn11,tfr1_l51_s694877_mpnn7,ab-tfr1,v2,GS4,20,153,82.5,54.71,36.5,20.24,0.57,True,False,True,False,False
fusion_s967366m11_s694877m7_v3,ab42_l82_s967366_mpnn11,tfr1_l51_s694877_mpnn7,ab-tfr1,v3,GS5,25,158,92.71,87.16,41.72,23.68,0.53,True,True,True,False,False
fusion_s967366m11_s694877m7_v4,ab42_l82_s967366_mpnn11,tfr1_l51_s694877_mpnn7,ab-tfr1,v4,EAAAK,17,150,93.26,85.43,76.77,21.36,0.59,True,True,True,False,False
fusion_s967366m11_s694877m7_v5,ab42_l82_s967366_mpnn11,tfr1_l51_s694877_mpnn7,ab-tfr1,v5,PAPAP,5,138,91.92,84.72,55.46,22.32,0.58,True,True,True,False,False
fusion_s967366m11_s694877m7_v6,ab42_l82_s967366_mpnn11,tfr1_l51_s694877_mpnn7,tfr1-ab,v6,GS3,15,148,51.24,83.27,35.55,20.45,0.58,False,True,True,False,False
fusion_s967366m11_s694877m7_v7,ab42_l82_s967366_mpnn11,tfr1_l51_s694877_mpnn7,tfr1-ab,v7,GS4,20,153,51.53,83.08,34.53,20.77,0.56,False,True,True,False,False
fusion_s967366m11_s694877m7_v8,ab42_l82_s967366_mpnn11,tfr1_l51_s694877_mpnn7,tfr1-ab,v8,GS5,25,158,52.87,83.24,35.61,20.84,0.55,False,True,True,False,False
fusion_s967366m11_s694877m7_v9,ab42_l82_s967366_mpnn11,tfr1_l51_s694877_mpnn7,tfr1-ab,v9,EAAAK,17,150,85.54,91.46,61.33,24.21,0.54,True,True,True,False,False
fusion_s967366m11_s694877m7_v10,ab42_l82_s967366_mpnn11,tfr1_l51_s694877_mpnn7,tfr1-ab,v10,PAPAP,5,138,85.89,93.55,63.73,20.89,0.59,True,True,True,False,False
fusion_s578974m11_s766452m12_v1,ab42_l89_s578974_mpnn11,tfr1_l60_s766452_mpnn12,ab-tfr1,v1,GS3,15,164,93.17,86.99,44.24,23.49,0.55,True,True,True,False,False
fusion_s578974m11_s766452m12_v2,ab42_l89_s578974_mpnn11,tfr1_l60_s766452_mpnn12,ab-tfr1,v2,GS4,20,169,93.19,86.73,42.39,23.36,0.54,True,True,True,False,False
fusion_s578974m11_s766452m12_v3,ab42_l89_s578974_mpnn11,tfr1_l60_s766452_mpnn12,ab-tfr1,v3,GS5,25,174,93.31,86.67,41.72,23.43,0.53,True,True,True,False,False
fusion_s578974m11_s766452m12_v4,ab42_l89_s578974_mpnn11,tfr1_l60_s766452_mpnn12,ab-tfr1,v4,EAAAK,17,166,92.69,85.77,79.32,20.26,0.58,True,True,True,False,False
fusion_s578974m11_s766452m12_v5,ab42_l89_s578974_mpnn11,tfr1_l60_s766452_mpnn12,ab-tfr1,v5,PAPAP,5,154,91.4,83.48,57.61,22.55,0.57,True,True,True,False,False
fusion_s578974m11_s766452m12_v6,ab42_l89_s578974_mpnn11,tfr1_l60_s766452_mpnn12,tfr1-ab,v6,GS3,15,164,86.12,92.87,42.2,22.06,0.55,True,True,True,False,False
fusion_s578974m11_s766452m12_v7,ab42_l89_s578974_mpnn11,tfr1_l60_s766452_mpnn12,tfr1-ab,v7,GS4,20,169,86.4,92.82,42.23,22.08,0.54,True,True,True,False,False
fusion_s578974m11_s766452m12_v8,ab42_l89_s578974_mpnn11,tfr1_l60_s766452_mpnn12,tfr1-ab,v8,GS5,25,174,86.3,92.96,41.68,22.04,0.53,True,True,True,False,False
fusion_s578974m11_s766452m12_v9,ab42_l89_s578974_mpnn11,tfr1_l60_s766452_mpnn12,tfr1-ab,v9,EAAAK,17,166,84.84,92.65,63.87,25.27,0.53,True,True,True,False,False
fusion_s578974m11_s766452m12_v10,ab42_l89_s578974_mpnn11,tfr1_l60_s766452_mpnn12,tfr1-ab,v10,PAPAP,5,154,85.69,93.61,62.46,23.3,0.56,True,True,True,False,False
fusion_s578974m11_s422992m5_v1,ab42_l89_s578974_mpnn11,tfr1_l70_s422992_mpnn5,ab-tfr1,v1,GS3,15,174,92.04,86.81,44.01,22.69,0.54,True,True,True,False,False
fusion_s578974m11_s422992m5_v2,ab42_l89_s578974_mpnn11,tfr1_l70_s422992_mpnn5,ab-tfr1,v2,GS4,20,179,92.46,89.45,41.02,23.06,0.52,True,True,True,False,False
fusion_s578974m11_s422992m5_v3,ab42_l89_s578974_mpnn11,tfr1_l70_s422992_mpnn5,ab-tfr1,v3,GS5,25,184,92.21,86.74,39.71,22.92,0.51,True,True,True,False,False
fusion_s578974m11_s422992m5_v4,ab42_l89_s578974_mpnn11,tfr1_l70_s422992_mpnn5,ab-tfr1,v4,EAAAK,17,176,92.63,89.76,74.88,19.57,0.58,True,True,True,False,False
fusion_s578974m11_s422992m5_v5,ab42_l89_s578974_mpnn11,tfr1_l70_s422992_mpnn5,ab-tfr1,v5,PAPAP,5,164,90.33,87.69,52.43,23.06,0.54,True,True,True,False,False
fusion_s578974m11_s422992m5_v6,ab42_l89_s578974_mpnn11,tfr1_l70_s422992_mpnn5,tfr1-ab,v6,GS3,15,174,53.43,83.73,34.91,21.58,0.56,False,True,True,False,False
fusion_s578974m11_s422992m5_v7,ab42_l89_s578974_mpnn11,tfr1_l70_s422992_mpnn5,tfr1-ab,v7,GS4,20,179,54.99,83.77,35.2,21.99,0.54,False,True,True,False,False
fusion_s578974m11_s422992m5_v8,ab42_l89_s578974_mpnn11,tfr1_l70_s422992_mpnn5,tfr1-ab,v8,GS5,25,184,88.89,91.86,41.6,20.69,0.53,True,True,True,False,False
fusion_s578974m11_s422992m5_v9,ab42_l89_s578974_mpnn11,tfr1_l70_s422992_mpnn5,tfr1-ab,v9,EAAAK,17,176,89.77,92.31,66.65,23.32,0.52,True,True,True,False,False
fusion_s578974m11_s422992m5_v10,ab42_l89_s578974_mpnn11,tfr1_l70_s422992_mpnn5,tfr1-ab,v10,PAPAP,5,164,90.3,93.16,66.87,21.44,0.56,True,True,True,False,False
fusion_s578974m11_s938332m1_v1,ab42_l89_s578974_mpnn11,tfr1_l53_s938332_mpnn1,ab-tfr1,v1,GS3,15,157,92.28,89.6,45.47,23.81,0.56,True,True,True,False,False
fusion_s578974m11_s938332m1_v2,ab42_l89_s578974_mpnn11,tfr1_l53_s938332_mpnn1,ab-tfr1,v2,GS4,20,162,92.27,89.47,42.41,24.09,0.55,True,True,True,False,False
fusion_s578974m11_s938332m1_v3,ab42_l89_s578974_mpnn11,tfr1_l53_s938332_mpnn1,ab-tfr1,v3,GS5,25,167,92.24,89.54,41.49,24.25,0.54,True,True,True,False,False
fusion_s578974m11_s938332m1_v4,ab42_l89_s578974_mpnn11,tfr1_l53_s938332_mpnn1,ab-tfr1,v4,EAAAK,17,159,92.1,85.38,71.56,23.33,0.58,True,True,True,False,False
fusion_s578974m11_s938332m1_v5,ab42_l89_s578974_mpnn11,tfr1_l53_s938332_mpnn1,ab-tfr1,v5,PAPAP,5,147,90.97,87.42,60.03,21.7,0.58,True,True,True,False,False
fusion_s578974m11_s938332m1_v6,ab42_l89_s578974_mpnn11,tfr1_l53_s938332_mpnn1,tfr1-ab,v6,GS3,15,157,85.09,90.99,40.77,20.62,0.58,True,True,True,False,False
fusion_s578974m11_s938332m1_v7,ab42_l89_s578974_mpnn11,tfr1_l53_s938332_mpnn1,tfr1-ab,v7,GS4,20,162,86.02,91.37,39.71,21.02,0.56,True,True,True,False,False
fusion_s578974m11_s938332m1_v8,ab42_l89_s578974_mpnn11,tfr1_l53_s938332_mpnn1,tfr1-ab,v8,GS5,25,167,85.88,91.28,40.43,21.19,0.54,True,True,True,False,False
fusion_s578974m11_s938332m1_v9,ab42_l89_s578974_mpnn11,tfr1_l53_s938332_mpnn1,tfr1-ab,v9,EAAAK,17,159,86.86,92.18,60.41,25.98,0.54,True,True,True,False,False
fusion_s578974m11_s938332m1_v10,ab42_l89_s578974_mpnn11,tfr1_l53_s938332_mpnn1,tfr1-ab,v10,PAPAP,5,147,89.52,92.99,67.61,21.69,0.59,True,True,True,False,False
fusion_s578974m11_s255454m5_v1,ab42_l89_s578974_mpnn11,tfr1_l51_s255454_mpnn5,ab-tfr1,v1,GS3,15,155,93.17,85.73,47.46,24.14,0.56,True,True,True,False,False
fusion_s578974m11_s255454m5_v2,ab42_l89_s578974_mpnn11,tfr1_l51_s255454_mpnn5,ab-tfr1,v2,GS4,20,160,93.37,86.29,45.28,24.86,0.55,True,True,True,False,False
fusion_s578974m11_s255454m5_v3,ab42_l89_s578974_mpnn11,tfr1_l51_s255454_mpnn5,ab-tfr1,v3,GS5,25,165,93.32,86.16,44.31,25.06,0.54,True,True,True,False,False
fusion_s578974m11_s255454m5_v4,ab42_l89_s578974_mpnn11,tfr1_l51_s255454_mpnn5,ab-tfr1,v4,EAAAK,17,157,92.65,87.99,72.76,23.16,0.59,True,True,True,False,False
fusion_s578974m11_s255454m5_v5,ab42_l89_s578974_mpnn11,tfr1_l51_s255454_mpnn5,ab-tfr1,v5,PAPAP,5,145,91.95,86.4,57.96,22.06,0.59,True,True,True,False,False
fusion_s578974m11_s255454m5_v6,ab42_l89_s578974_mpnn11,tfr1_l51_s255454_mpnn5,tfr1-ab,v6,GS3,15,155,88.95,93.18,41.95,22.96,0.56,True,True,True,False,False
fusion_s578974m11_s255454m5_v7,ab42_l89_s578974_mpnn11,tfr1_l51_s255454_mpnn5,tfr1-ab,v7,GS4,20,160,85.58,93.04,40.7,23.03,0.55,True,True,True,False,False
fusion_s578974m11_s255454m5_v8,ab42_l89_s578974_mpnn11,tfr1_l51_s255454_mpnn5,tfr1-ab,v8,GS5,25,165,88.88,93.13,42.28,23.62,0.53,True,True,True,False,False
fusion_s578974m11_s255454m5_v9,ab42_l89_s578974_mpnn11,tfr1_l51_s255454_mpnn5,tfr1-ab,v9,EAAAK,17,157,58.39,91.49,61.82,27.69,0.54,False,True,True,False,False
fusion_s578974m11_s255454m5_v10,ab42_l89_s578974_mpnn11,tfr1_l51_s255454_mpnn5,tfr1-ab,v10,PAPAP,5,145,84.36,93.54,56.35,23.44,0.59,True,True,True,False,False
fusion_s578974m11_s694877m7_v1,ab42_l89_s578974_mpnn11,tfr1_l51_s694877_mpnn7,ab-tfr1,v1,GS3,15,155,93.07,88.38,43.98,24.17,0.56,True,True,True,False,False
fusion_s578974m11_s694877m7_v2,ab42_l89_s578974_mpnn11,tfr1_l51_s694877_mpnn7,ab-tfr1,v2,GS4,20,160,93.03,88.31,41.4,24.55,0.55,True,True,True,False,False
fusion_s578974m11_s694877m7_v3,ab42_l89_s578974_mpnn11,tfr1_l51_s694877_mpnn7,ab-tfr1,v3,GS5,25,165,92.98,88.21,40.26,24.78,0.54,True,True,True,False,False
fusion_s578974m11_s694877m7_v4,ab42_l89_s578974_mpnn11,tfr1_l51_s694877_mpnn7,ab-tfr1,v4,EAAAK,17,157,91.76,85.09,71.86,22.73,0.58,True,True,True,False,False
fusion_s578974m11_s694877m7_v5,ab42_l89_s578974_mpnn11,tfr1_l51_s694877_mpnn7,ab-tfr1,v5,PAPAP,5,145,91.14,84.68,55.85,22.62,0.58,True,True,True,False,False
fusion_s578974m11_s694877m7_v6,ab42_l89_s578974_mpnn11,tfr1_l51_s694877_mpnn7,tfr1-ab,v6,GS3,15,155,85.64,92.18,41.4,22.11,0.57,True,True,True,False,False
fusion_s578974m11_s694877m7_v7,ab42_l89_s578974_mpnn11,tfr1_l51_s694877_mpnn7,tfr1-ab,v7,GS4,20,160,85.7,92.37,40.97,22.26,0.55,True,True,True,False,False
fusion_s578974m11_s694877m7_v8,ab42_l89_s578974_mpnn11,tfr1_l51_s694877_mpnn7,tfr1-ab,v8,GS5,25,165,86.12,92.42,40.89,22.29,0.54,True,True,True,False,False
fusion_s578974m11_s694877m7_v9,ab42_l89_s578974_mpnn11,tfr1_l51_s694877_mpnn7,tfr1-ab,v9,EAAAK,17,157,87.1,92.42,64.12,24.48,0.55,True,True,True,False,False
fusion_s578974m11_s694877m7_v10,ab42_l89_s578974_mpnn11,tfr1_l51_s694877_mpnn7,tfr1-ab,v10,PAPAP,5,145,87.45,93.49,65.44,21.51,0.6,True,True,True,False,False
fusion_s311742m16_s766452m12_v1,ab42_l90_s311742_mpnn16,tfr1_l60_s766452_mpnn12,ab-tfr1,v1,GS3,15,165,89.7,86.19,45.0,22.41,0.55,True,True,True,False,False
fusion_s311742m16_s766452m12_v2,ab42_l90_s311742_mpnn16,tfr1_l60_s766452_mpnn12,ab-tfr1,v2,GS4,20,170,89.67,86.9,43.85,23.42,0.53,True,True,True,False,False
fusion_s311742m16_s766452m12_v3,ab42_l90_s311742_mpnn16,tfr1_l60_s766452_mpnn12,ab-tfr1,v3,GS5,25,175,89.29,86.52,43.99,23.15,0.52,True,True,True,False,False
fusion_s311742m16_s766452m12_v4,ab42_l90_s311742_mpnn16,tfr1_l60_s766452_mpnn12,ab-tfr1,v4,EAAAK,17,167,91.93,87.39,80.96,19.34,0.59,True,True,True,False,False
fusion_s311742m16_s766452m12_v5,ab42_l90_s311742_mpnn16,tfr1_l60_s766452_mpnn12,ab-tfr1,v5,PAPAP,5,155,89.96,86.35,50.83,24.29,0.54,True,True,True,False,False
fusion_s311742m16_s766452m12_v6,ab42_l90_s311742_mpnn16,tfr1_l60_s766452_mpnn12,tfr1-ab,v6,GS3,15,165,85.05,86.92,38.93,23.02,0.53,True,True,True,False,False
fusion_s311742m16_s766452m12_v7,ab42_l90_s311742_mpnn16,tfr1_l60_s766452_mpnn12,tfr1-ab,v7,GS4,20,170,86.79,87.74,38.57,23.38,0.52,True,True,True,False,False
fusion_s311742m16_s766452m12_v8,ab42_l90_s311742_mpnn16,tfr1_l60_s766452_mpnn12,tfr1-ab,v8,GS5,25,175,87.38,88.75,39.06,23.84,0.51,True,True,True,False,False
fusion_s311742m16_s766452m12_v9,ab42_l90_s311742_mpnn16,tfr1_l60_s766452_mpnn12,tfr1-ab,v9,EAAAK,17,167,83.85,81.7,59.04,23.38,0.51,True,True,True,False,False
fusion_s311742m16_s766452m12_v10,ab42_l90_s311742_mpnn16,tfr1_l60_s766452_mpnn12,tfr1-ab,v10,PAPAP,5,155,80.34,86.63,45.07,24.06,0.54,True,True,True,False,False
fusion_s311742m16_s422992m5_v1,ab42_l90_s311742_mpnn16,tfr1_l70_s422992_mpnn5,ab-tfr1,v1,GS3,15,175,88.63,88.99,44.47,21.95,0.52,True,True,True,False,False
fusion_s311742m16_s422992m5_v2,ab42_l90_s311742_mpnn16,tfr1_l70_s422992_mpnn5,ab-tfr1,v2,GS4,20,180,88.78,89.84,43.59,23.04,0.51,True,True,True,False,False
fusion_s311742m16_s422992m5_v3,ab42_l90_s311742_mpnn16,tfr1_l70_s422992_mpnn5,ab-tfr1,v3,GS5,25,185,88.88,90.76,43.05,22.79,0.5,True,True,True,False,False
fusion_s311742m16_s422992m5_v4,ab42_l90_s311742_mpnn16,tfr1_l70_s422992_mpnn5,ab-tfr1,v4,EAAAK,17,177,91.6,89.89,75.11,21.49,0.57,True,True,True,False,False
fusion_s311742m16_s422992m5_v5,ab42_l90_s311742_mpnn16,tfr1_l70_s422992_mpnn5,ab-tfr1,v5,PAPAP,5,165,89.03,90.64,56.99,22.42,0.53,True,True,True,False,False
fusion_s311742m16_s422992m5_v6,ab42_l90_s311742_mpnn16,tfr1_l70_s422992_mpnn5,tfr1-ab,v6,GS3,15,175,54.98,80.69,37.38,14.47,0.66,False,True,False,True,False
fusion_s311742m16_s422992m5_v7,ab42_l90_s311742_mpnn16,tfr1_l70_s422992_mpnn5,tfr1-ab,v7,GS4,20,180,53.89,79.63,35.7,14.51,0.64,False,False,False,True,False
fusion_s311742m16_s422992m5_v8,ab42_l90_s311742_mpnn16,tfr1_l70_s422992_mpnn5,tfr1-ab,v8,GS5,25,185,51.42,77.72,35.81,15.69,0.61,False,False,True,True,False
fusion_s311742m16_s422992m5_v9,ab42_l90_s311742_mpnn16,tfr1_l70_s422992_mpnn5,tfr1-ab,v9,EAAAK,17,177,85.43,84.14,58.22,23.62,0.5,True,True,True,False,False
fusion_s311742m16_s422992m5_v10,ab42_l90_s311742_mpnn16,tfr1_l70_s422992_mpnn5,tfr1-ab,v10,PAPAP,5,165,54.26,76.92,43.1,17.47,0.6,False,False,True,False,False
fusion_s311742m16_s938332m1_v1,ab42_l90_s311742_mpnn16,tfr1_l53_s938332_mpnn1,ab-tfr1,v1,GS3,15,158,89.32,90.9,45.88,23.46,0.54,True,True,True,False,False
fusion_s311742m16_s938332m1_v2,ab42_l90_s311742_mpnn16,tfr1_l53_s938332_mpnn1,ab-tfr1,v2,GS4,20,163,89.12,90.86,44.61,23.91,0.53,True,True,True,False,False
fusion_s311742m16_s938332m1_v3,ab42_l90_s311742_mpnn16,tfr1_l53_s938332_mpnn1,ab-tfr1,v3,GS5,25,168,89.08,90.67,45.37,24.0,0.52,True,True,True,False,False
fusion_s311742m16_s938332m1_v4,ab42_l90_s311742_mpnn16,tfr1_l53_s938332_mpnn1,ab-tfr1,v4,EAAAK,17,160,92.07,89.39,80.58,20.76,0.6,True,True,True,False,False
fusion_s311742m16_s938332m1_v5,ab42_l90_s311742_mpnn16,tfr1_l53_s938332_mpnn1,ab-tfr1,v5,PAPAP,5,148,90.14,90.53,57.77,23.42,0.56,True,True,True,False,False
fusion_s311742m16_s938332m1_v6,ab42_l90_s311742_mpnn16,tfr1_l53_s938332_mpnn1,tfr1-ab,v6,GS3,15,158,,,,,,False,False,False,False,False
fusion_s311742m16_s938332m1_v7,ab42_l90_s311742_mpnn16,tfr1_l53_s938332_mpnn1,tfr1-ab,v7,GS4,20,163,,,,,,False,False,False,False,False
fusion_s311742m16_s938332m1_v8,ab42_l90_s311742_mpnn16,tfr1_l53_s938332_mpnn1,tfr1-ab,v8,GS5,25,168,,,,,,False,False,False,False,False
fusion_s311742m16_s938332m1_v9,ab42_l90_s311742_mpnn16,tfr1_l53_s938332_mpnn1,tfr1-ab,v9,EAAAK,17,160,,,,,,False,False,False,False,False
fusion_s311742m16_s938332m1_v10,ab42_l90_s311742_mpnn16,tfr1_l53_s938332_mpnn1,tfr1-ab,v10,PAPAP,5,148,,,,,,False,False,False,False,False
fusion_s311742m16_s255454m5_v1,ab42_l90_s311742_mpnn16,tfr1_l51_s255454_mpnn5,ab-tfr1,v1,GS3,15,156,,,,,,False,False,False,False,False
fusion_s311742m16_s255454m5_v2,ab42_l90_s311742_mpnn16,tfr1_l51_s255454_mpnn5,ab-tfr1,v2,GS4,20,161,,,,,,False,False,False,False,False
fusion_s311742m16_s255454m5_v3,ab42_l90_s311742_mpnn16,tfr1_l51_s255454_mpnn5,ab-tfr1,v3,GS5,25,166,,,,,,False,False,False,False,False
