id,ab42_design,tfr1_design,domain_order,linker_id,linker_name,linker_len,total_len,arm1_plddt,arm2_plddt,mean_arm_plddt,min_arm_plddt,linker_plddt,inter_domain_pae,ptm,pass_arm1_plddt,pass_arm2_plddt,pass_inter_pae,pass_ptm_soft,pass_all,rank,panel_selected
fusion_s843399m18_s255454m5_v10,ab42_l71_s843399_mpnn18,tfr1_l51_s255454_mpnn5,tfr1-ab,v10,PAPAP,5,127,85.21,94.13,89.67,85.21,62.01,23.62,0.53,True,True,True,False,True,19,False
fusion_s311742m16_s694877m7_v1,ab42_l90_s311742_mpnn16,tfr1_l51_s694877_mpnn7,ab-tfr1,v1,GS3,15,156,90.43,88.89,89.66,88.89,42.75,24.29,0.54,True,True,True,False,True,20,True
fusion_s843399m18_s694877m7_v4,ab42_l71_s843399_mpnn18,tfr1_l51_s694877_mpnn7,ab-tfr1,v4,EAAAK,17,139,93.48,85.8,89.64,85.8,77.32,20.87,0.55,True,True,True,False,True,21,False
fusion_s843399m18_s766452m12_v8,ab42_l71_s843399_mpnn18,tfr1_l60_s766452_mpnn12,tfr1-ab,v8,GS5,25,156,85.15,94.1,89.62,85.15,40.98,25.75,0.45,True,True,True,False,True,22,True
fusion_s843399m18_s694877m7_v1,ab42_l71_s843399_mpnn18,tfr1_l51_s694877_mpnn7,ab-tfr1,v1,GS3,15,137,92.64,86.32,89.48,86.32,40.96,22.76,0.5,True,True,True,False,True,23,False
fusion_s311742m16_s694877m7_v2,ab42_l90_s311742_mpnn16,tfr1_l51_s694877_mpnn7,ab-tfr1,v2,GS4,20,161,90.23,88.67,89.45,88.67,40.61,24.24,0.53,True,True,True,False,True,24,True
fusion_s311742m16_s255454m5_v4,ab42_l90_s311742_mpnn16,tfr1_l51_s255454_mpnn5,ab-tfr1,v4,EAAAK,17,158,92.5,86.3,89.4,86.3,78.61,22.24,0.61,True,True,True,True,True,25,True
fusion_s311742m16_s694877m7_v3,ab42_l90_s311742_mpnn16,tfr1_l51_s694877_mpnn7,ab-tfr1,v3,GS5,25,166,89.86,88.8,89.33,88.8,39.22,24.52,0.52,True,True,True,False,True,26,False
fusion_s843399m18_s766452m12_v9,ab42_l71_s843399_mpnn18,tfr1_l60_s766452_mpnn12,tfr1-ab,v9,EAAAK,17,148,85.89,92.76,89.33,85.89,62.58,23.65,0.49,True,True,True,False,True,27,False
fusion_s843399m18_s938332m1_v4,ab42_l71_s843399_mpnn18,tfr1_l53_s938332_mpnn1,ab-tfr1,v4,EAAAK,17,141,93.54,85.06,89.3,85.06,74.43,23.36,0.53,True,True,True,False,True,28,True
fusion_s843399m18_s255454m5_v3,ab42_l71_s843399_mpnn18,tfr1_l51_s255454_mpnn5,ab-tfr1,v3,GS5,25,147,93.07,85.52,89.29,85.52,42.26,24.51,0.48,True,True,True,False,True,29,False
fusion_s480128m17_s766452m12_v4,ab42_l82_s480128_mpnn17,tfr1_l60_s766452_mpnn12,ab-tfr1,v4,EAAAK,17,159,92.02,86.52,89.27,86.52,75.43,20.04,0.57,True,True,True,False,True,30,True
fusion_s843399m18_s255454m5_v1,ab42_l71_s843399_mpnn18,tfr1_l51_s255454_mpnn5,ab-tfr1,v1,GS3,15,137,92.94,85.41,89.17,85.41,45.63,23.7,0.5,True,True,True,False,True,31,False
fusion_s843399m18_s255454m5_v7,ab42_l71_s843399_mpnn18,tfr1_l51_s255454_mpnn5,tfr1-ab,v7,GS4,20,142,84.81,93.53,89.17,84.81,40.73,23.32,0.49,True,True,True,False,True,32,False
fusion_s311742m16_s694877m7_v4,ab42_l90_s311742_mpnn16,tfr1_l51_s694877_mpnn7,ab-tfr1,v4,EAAAK,17,158,91.28,86.98,89.13,86.98,76.84,20.62,0.6,True,True,True,False,True,33,False
fusion_s843399m18_s694877m7_v6,ab42_l71_s843399_mpnn18,tfr1_l51_s694877_mpnn7,tfr1-ab,v6,GS3,15,137,84.86,93.41,89.13,84.86,43.3,23.79,0.5,True,True,True,False,True,34,False
fusion_s480128m17_s255454m5_v2,ab42_l82_s480128_mpnn17,tfr1_l51_s255454_mpnn5,ab-tfr1,v2,GS4,20,153,90.92,87.33,89.12,87.33,43.73,24.78,0.52,True,True,True,False,True,35,True
fusion_s480128m17_s766452m12_v3,ab42_l82_s480128_mpnn17,tfr1_l60_s766452_mpnn12,ab-tfr1,v3,GS5,25,167,91.68,86.29,88.99,86.29,38.63,25.13,0.5,True,True,True,False,True,36,True
fusion_s843399m18_s938332m1_v9,ab42_l71_s843399_mpnn18,tfr1_l53_s938332_mpnn1,tfr1-ab,v9,EAAAK,17,141,85.22,92.62,88.92,85.22,54.44,27.02,0.48,True,True,True,False,True,37,False
fusion_s480128m17_s422992m5_v9,ab42_l82_s480128_mpnn17,tfr1_l70_s422992_mpnn5,tfr1-ab,v9,EAAAK,17,169,88.41,89.33,88.87,88.41,62.3,22.86,0.49,True,True,True,False,True,38,False
fusion_s480128m17_s766452m12_v2,ab42_l82_s480128_mpnn17,tfr1_l60_s766452_mpnn12,ab-tfr1,v2,GS4,20,162,91.28,86.46,88.87,86.46,41.41,25.31,0.51,True,True,True,False,True,39,False
fusion_s843399m18_s766452m12_v2,ab42_l71_s843399_mpnn18,tfr1_l60_s766452_mpnn12,ab-tfr1,v2,GS4,20,151,92.61,85.1,88.85,85.1,40.59,25.88,0.46,True,True,True,False,True,40,False
fusion_s843399m18_s938332m1_v3,ab42_l71_s843399_mpnn18,tfr1_l53_s938332_mpnn1,ab-tfr1,v3,GS5,25,149,91.54,85.99,88.77,85.99,41.66,23.57,0.48,True,True,True,False,True,41,False
fusion_s480128m17_s938332m1_v9,ab42_l82_s480128_mpnn17,tfr1_l53_s938332_mpnn1,tfr1-ab,v9,EAAAK,17,152,86.48,90.64,88.56,86.48,59.4,23.76,0.53,True,True,True,False,True,42,False
fusion_s480128m17_s255454m5_v1,ab42_l82_s480128_mpnn17,tfr1_l51_s255454_mpnn5,ab-tfr1,v1,GS3,15,148,91.16,85.96,88.56,85.96,44.13,24.2,0.54,True,True,True,False,True,43,False
fusion_s311742m16_s694877m7_v5,ab42_l90_s311742_mpnn16,tfr1_l51_s694877_mpnn7,ab-tfr1,v5,PAPAP,5,146,90.39,86.7,88.55,86.7,51.35,24.26,0.56,True,True,True,False,True,44,False
fusion_s311742m16_s255454m5_v5,ab42_l90_s311742_mpnn16,tfr1_l51_s255454_mpnn5,ab-tfr1,v5,PAPAP,5,146,91.29,85.76,88.53,85.76,58.07,22.57,0.59,True,True,True,False,True,45,False
fusion_s480128m17_s766452m12_v1,ab42_l82_s480128_mpnn17,tfr1_l60_s766452_mpnn12,ab-tfr1,v1,GS3,15,157,90.63,86.32,88.47,86.32,42.19,24.75,0.51,True,True,True,False,True,46,False
fusion_s843399m18_s766452m12_v1,ab42_l71_s843399_mpnn18,tfr1_l60_s766452_mpnn12,ab-tfr1,v1,GS3,15,146,92.21,84.74,88.47,84.74,40.41,25.76,0.46,True,True,True,False,True,47,False
fusion_s480128m17_s255454m5_v5,ab42_l82_s480128_mpnn17,tfr1_l51_s255454_mpnn5,ab-tfr1,v5,PAPAP,5,138,91.71,85.21,88.46,85.21,62.16,20.68,0.59,True,True,True,False,True,48,False
fusion_s311742m16_s694877m7_v6,ab42_l90_s311742_mpnn16,tfr1_l51_s694877_mpnn7,tfr1-ab,v6,GS3,15,156,87.23,89.51,88.37,87.23,39.64,23.13,0.55,True,True,True,False,True,49,False
fusion_s311742m16_s255454m5_v3,ab42_l90_s311742_mpnn16,tfr1_l51_s255454_mpnn5,ab-tfr1,v3,GS5,25,166,89.49,87.22,88.35,87.22,44.17,24.75,0.52,True,True,True,False,True,50,False
fusion_s843399m18_s766452m12_v5,ab42_l71_s843399_mpnn18,tfr1_l60_s766452_mpnn12,ab-tfr1,v5,PAPAP,5,136,92.09,84.56,88.33,84.56,54.9,23.91,0.49,True,True,True,False,True,51,False
fusion_s843399m18_s255454m5_v5,ab42_l71_s843399_mpnn18,tfr1_l51_s255454_mpnn5,ab-tfr1,v5,PAPAP,5,127,92.43,84.15,88.29,84.15,55.81,22.85,0.52,True,True,True,False,True,52,False
fusion_s480128m17_s766452m12_v5,ab42_l82_s480128_mpnn17,tfr1_l60_s766452_mpnn12,ab-tfr1,v5,PAPAP,5,147,91.09,85.43,88.26,85.43,61.07,22.78,0.55,True,True,True,False,True,53,False
fusion_s311742m16_s255454m5_v2,ab42_l90_s311742_mpnn16,tfr1_l51_s255454_mpnn5,ab-tfr1,v2,GS4,20,161,89.58,86.93,88.25,86.93,45.4,24.61,0.53,True,True,True,False,True,54,False
fusion_s480128m17_s766452m12_v8,ab42_l82_s480128_mpnn17,tfr1_l60_s766452_mpnn12,tfr1-ab,v8,GS5,25,167,85.02,91.44,88.23,85.02,39.51,23.52,0.5,True,True,True,False,True,55,False
fusion_s311742m16_s255454m5_v1,ab42_l90_s311742_mpnn16,tfr1_l51_s255454_mpnn5,ab-tfr1,v1,GS3,15,156,89.74,86.7,88.22,86.7,47.01,24.51,0.55,True,True,True,False,True,56,False
fusion_s480128m17_s694877m7_v4,ab42_l82_s480128_mpnn17,tfr1_l51_s694877_mpnn7,ab-tfr1,v4,EAAAK,17,150,91.77,84.67,88.22,84.67,66.21,23.06,0.57,True,True,True,False,True,57,False
fusion_s843399m18_s694877m7_v7,ab42_l71_s843399_mpnn18,tfr1_l51_s694877_mpnn7,tfr1-ab,v7,GS4,20,142,83.4,93.02,88.21,83.4,42.51,24.06,0.49,True,True,True,False,True,58,False
fusion_s311742m16_s694877m7_v8,ab42_l90_s311742_mpnn16,tfr1_l51_s694877_mpnn7,tfr1-ab,v8,GS5,25,166,87.42,88.97,88.19,87.42,37.84,23.99,0.52,True,True,True,False,True,59,False
fusion_s480128m17_s766452m12_v6,ab42_l82_s480128_mpnn17,tfr1_l60_s766452_mpnn12,tfr1-ab,v6,GS3,15,157,83.48,92.89,88.19,83.48,41.7,23.08,0.54,True,True,True,False,True,60,False
fusion_s311742m16_s694877m7_v7,ab42_l90_s311742_mpnn16,tfr1_l51_s694877_mpnn7,tfr1-ab,v7,GS4,20,161,87.35,88.91,88.13,87.35,38.74,23.76,0.53,True,True,True,False,True,61,False
fusion_s843399m18_s766452m12_v3,ab42_l71_s843399_mpnn18,tfr1_l60_s766452_mpnn12,ab-tfr1,v3,GS5,25,156,92.15,84.07,88.11,84.07,39.36,24.09,0.46,True,True,True,False,True,62,False
fusion_s480128m17_s255454m5_v7,ab42_l82_s480128_mpnn17,tfr1_l51_s255454_mpnn5,tfr1-ab,v7,GS4,20,153,84.83,91.25,88.04,84.83,39.09,23.09,0.53,True,True,True,False,True,63,False
fusion_s480128m17_s255454m5_v3,ab42_l82_s480128_mpnn17,tfr1_l51_s255454_mpnn5,ab-tfr1,v3,GS5,25,158,90.02,86.05,88.03,86.05,42.9,25.05,0.51,True,True,True,False,True,64,False
fusion_s480128m17_s766452m12_v7,ab42_l82_s480128_mpnn17,tfr1_l60_s766452_mpnn12,tfr1-ab,v7,GS4,20,162,84.04,91.9,87.97,84.04,40.21,23.37,0.52,True,True,True,False,True,65,False
fusion_s480128m17_s255454m5_v8,ab42_l82_s480128_mpnn17,tfr1_l51_s255454_mpnn5,tfr1-ab,v8,GS5,25,158,85.3,90.31,87.81,85.3,38.39,24.18,0.5,True,True,True,False,True,66,False
fusion_s311742m16_s938332m1_v8,ab42_l90_s311742_mpnn16,tfr1_l53_s938332_mpnn1,tfr1-ab,v8,GS5,25,168,87.63,87.96,87.79,87.63,39.16,23.11,0.51,True,True,True,False,True,67,False
fusion_s843399m18_s766452m12_v7,ab42_l71_s843399_mpnn18,tfr1_l60_s766452_mpnn12,tfr1-ab,v7,GS4,20,151,82.18,93.12,87.65,82.18,42.38,25.16,0.47,True,True,True,False,True,68,False
fusion_s843399m18_s694877m7_v5,ab42_l71_s843399_mpnn18,tfr1_l51_s694877_mpnn7,ab-tfr1,v5,PAPAP,5,127,91.44,83.47,87.45,83.47,48.35,23.92,0.52,True,True,True,False,True,69,False
fusion_s480128m17_s766452m12_v9,ab42_l82_s480128_mpnn17,tfr1_l60_s766452_mpnn12,tfr1-ab,v9,EAAAK,17,159,83.98,90.81,87.4,83.98,60.21,23.18,0.53,True,True,True,False,True,70,False
fusion_s843399m18_s694877m7_v10,ab42_l71_s843399_mpnn18,tfr1_l51_s694877_mpnn7,tfr1-ab,v10,PAPAP,5,127,82.59,91.77,87.18,82.59,60.92,19.86,0.55,True,True,True,False,True,71,False
fusion_s843399m18_s255454m5_v8,ab42_l71_s843399_mpnn18,tfr1_l51_s255454_mpnn5,tfr1-ab,v8,GS5,25,147,81.19,92.69,86.94,81.19,39.18,22.64,0.48,True,True,True,False,True,72,False
fusion_s843399m18_s938332m1_v2,ab42_l71_s843399_mpnn18,tfr1_l53_s938332_mpnn1,ab-tfr1,v2,GS4,20,144,91.35,82.28,86.81,82.28,41.3,23.11,0.49,True,True,True,False,True,73,False
fusion_s311742m16_s938332m1_v7,ab42_l90_s311742_mpnn16,tfr1_l53_s938332_mpnn1,tfr1-ab,v7,GS4,20,163,87.13,86.29,86.71,86.29,38.07,22.74,0.52,True,True,True,False,True,74,False
fusion_s311742m16_s938332m1_v10,ab42_l90_s311742_mpnn16,tfr1_l53_s938332_mpnn1,tfr1-ab,v10,PAPAP,5,148,85.7,87.26,86.48,85.7,55.43,21.51,0.57,True,True,True,False,True,75,False
fusion_s311742m16_s694877m7_v10,ab42_l90_s311742_mpnn16,tfr1_l51_s694877_mpnn7,tfr1-ab,v10,PAPAP,5,146,84.27,88.65,86.46,84.27,52.92,22.01,0.58,True,True,True,False,True,76,False
fusion_s311742m16_s938332m1_v6,ab42_l90_s311742_mpnn16,tfr1_l53_s938332_mpnn1,tfr1-ab,v6,GS3,15,158,84.73,86.27,85.5,84.73,38.7,22.21,0.54,True,True,True,False,True,77,False
fusion_s311742m16_s938332m1_v9,ab42_l90_s311742_mpnn16,tfr1_l53_s938332_mpnn1,tfr1-ab,v9,EAAAK,17,160,84.84,83.1,83.97,83.1,48.41,24.63,0.52,True,True,True,False,True,78,False
fusion_s311742m16_s694877m7_v9,ab42_l90_s311742_mpnn16,tfr1_l51_s694877_mpnn7,tfr1-ab,v9,EAAAK,17,158,84.71,81.9,83.31,81.9,58.01,23.6,0.52,True,True,True,False,True,79,False
fusion_s480128m17_s766452m12_v10,ab42_l82_s480128_mpnn17,tfr1_l60_s766452_mpnn12,tfr1-ab,v10,PAPAP,5,147,79.22,93.05,86.13,79.22,62.13,22.76,0.56,False,True,True,False,False,,False
fusion_s480128m17_s938332m1_v5,ab42_l82_s480128_mpnn17,tfr1_l53_s938332_mpnn1,ab-tfr1,v5,PAPAP,5,140,90.93,73.02,81.97,73.02,51.68,24.89,0.56,True,False,True,False,False,,False
fusion_s843399m18_s766452m12_v6,ab42_l71_s843399_mpnn18,tfr1_l60_s766452_mpnn12,tfr1-ab,v6,GS3,15,146,72.33,88.31,80.32,72.33,38.84,21.46,0.5,False,True,True,False,False,,False
fusion_s843399m18_s938332m1_v1,ab42_l71_s843399_mpnn18,tfr1_l53_s938332_mpnn1,ab-tfr1,v1,GS3,15,139,89.92,69.15,79.53,69.15,40.91,22.26,0.51,True,False,True,False,False,,False
fusion_s843399m18_s938332m1_v5,ab42_l71_s843399_mpnn18,tfr1_l53_s938332_mpnn1,ab-tfr1,v5,PAPAP,5,129,89.31,68.1,78.7,68.1,50.05,22.59,0.52,True,False,True,False,False,,False
fusion_s480128m17_s255454m5_v10,ab42_l82_s480128_mpnn17,tfr1_l51_s255454_mpnn5,tfr1-ab,v10,PAPAP,5,138,65.33,87.5,76.41,65.33,59.63,10.29,0.73,False,True,False,True,False,,False
fusion_s480128m17_s938332m1_v3,ab42_l82_s480128_mpnn17,tfr1_l53_s938332_mpnn1,ab-tfr1,v3,GS5,25,160,86.88,65.13,76.0,65.13,40.23,21.29,0.54,True,False,True,False,False,,False
fusion_s843399m18_s938332m1_v6,ab42_l71_s843399_mpnn18,tfr1_l53_s938332_mpnn1,tfr1-ab,v6,GS3,15,139,62.42,89.48,75.95,62.42,36.53,21.92,0.52,False,True,True,False,False,,False
fusion_s480128m17_s938332m1_v1,ab42_l82_s480128_mpnn17,tfr1_l53_s938332_mpnn1,ab-tfr1,v1,GS3,15,150,87.09,64.24,75.66,64.24,42.44,19.71,0.58,True,False,True,False,False,,False
fusion_s480128m17_s255454m5_v9,ab42_l82_s480128_mpnn17,tfr1_l51_s255454_mpnn5,tfr1-ab,v9,EAAAK,17,150,61.46,89.44,75.45,61.46,66.15,24.61,0.54,False,True,True,False,False,,False
fusion_s480128m17_s694877m7_v1,ab42_l82_s480128_mpnn17,tfr1_l51_s694877_mpnn7,ab-tfr1,v1,GS3,15,148,84.86,66.04,75.45,66.04,41.37,13.22,0.65,True,False,False,True,False,,False
fusion_s480128m17_s938332m1_v2,ab42_l82_s480128_mpnn17,tfr1_l53_s938332_mpnn1,ab-tfr1,v2,GS4,20,155,86.32,64.43,75.38,64.43,40.78,20.87,0.55,True,False,True,False,False,,False
fusion_s843399m18_s938332m1_v8,ab42_l71_s843399_mpnn18,tfr1_l53_s938332_mpnn1,tfr1-ab,v8,GS5,25,149,62.06,88.65,75.36,62.06,36.31,21.43,0.5,False,True,True,False,False,,False
fusion_s843399m18_s766452m12_v10,ab42_l71_s843399_mpnn18,tfr1_l60_s766452_mpnn12,tfr1-ab,v10,PAPAP,5,136,64.54,85.07,74.81,64.54,50.3,19.07,0.55,False,True,True,False,False,,False
fusion_s480128m17_s938332m1_v6,ab42_l82_s480128_mpnn17,tfr1_l53_s938332_mpnn1,tfr1-ab,v6,GS3,15,150,64.3,84.9,74.6,64.3,39.25,19.17,0.56,False,True,True,False,False,,False
fusion_s843399m18_s938332m1_v7,ab42_l71_s843399_mpnn18,tfr1_l53_s938332_mpnn1,tfr1-ab,v7,GS4,20,144,59.9,87.21,73.55,59.9,36.26,20.2,0.52,False,True,True,False,False,,False
fusion_s480128m17_s938332m1_v8,ab42_l82_s480128_mpnn17,tfr1_l53_s938332_mpnn1,tfr1-ab,v8,GS5,25,160,62.27,84.81,73.54,62.27,39.44,20.56,0.53,False,True,True,False,False,,False
fusion_s480128m17_s694877m7_v2,ab42_l82_s480128_mpnn17,tfr1_l51_s694877_mpnn7,ab-tfr1,v2,GS4,20,153,83.98,62.83,73.41,62.83,40.37,15.03,0.61,True,False,True,True,False,,False
fusion_s843399m18_s255454m5_v9,ab42_l71_s843399_mpnn18,tfr1_l51_s255454_mpnn5,tfr1-ab,v9,EAAAK,17,139,57.25,89.19,73.22,57.25,54.18,26.65,0.48,False,True,True,False,False,,False
fusion_s480128m17_s938332m1_v7,ab42_l82_s480128_mpnn17,tfr1_l53_s938332_mpnn1,tfr1-ab,v7,GS4,20,155,61.72,83.93,72.83,61.72,36.65,19.87,0.55,False,True,True,False,False,,False
fusion_s480128m17_s255454m5_v6,ab42_l82_s480128_mpnn17,tfr1_l51_s255454_mpnn5,tfr1-ab,v6,GS3,15,148,56.88,86.09,71.48,56.88,40.05,12.26,0.68,False,True,False,True,False,,False
fusion_s480128m17_s694877m7_v3,ab42_l82_s480128_mpnn17,tfr1_l51_s694877_mpnn7,ab-tfr1,v3,GS5,25,158,82.2,59.9,71.05,59.9,40.3,16.71,0.58,True,False,True,False,False,,False
fusion_s843399m18_s694877m7_v2,ab42_l71_s843399_mpnn18,tfr1_l51_s694877_mpnn7,ab-tfr1,v2,GS4,20,142,83.39,57.9,70.64,57.9,36.48,20.94,0.51,True,False,True,False,False,,False
fusion_s311742m16_s255454m5_v9,ab42_l90_s311742_mpnn16,tfr1_l51_s255454_mpnn5,tfr1-ab,v9,EAAAK,17,158,56.74,82.95,69.84,56.74,53.01,26.16,0.53,False,True,True,False,False,,False
fusion_s480128m17_s694877m7_v9,ab42_l82_s480128_mpnn17,tfr1_l51_s694877_mpnn7,tfr1-ab,v9,EAAAK,17,150,56.94,82.38,69.66,56.94,46.26,20.58,0.54,False,True,True,False,False,,False
fusion_s843399m18_s422992m5_v7,ab42_l71_s843399_mpnn18,tfr1_l70_s422992_mpnn5,tfr1-ab,v7,GS4,20,161,57.5,81.24,69.37,57.5,38.3,15.3,0.57,False,True,True,False,False,,False
fusion_s480128m17_s694877m7_v5,ab42_l82_s480128_mpnn17,tfr1_l51_s694877_mpnn7,ab-tfr1,v5,PAPAP,5,138,80.39,58.26,69.33,58.26,47.47,17.88,0.61,True,False,True,True,False,,False
fusion_s843399m18_s422992m5_v6,ab42_l71_s843399_mpnn18,tfr1_l70_s422992_mpnn5,tfr1-ab,v6,GS3,15,156,57.14,81.42,69.28,57.14,39.89,15.54,0.57,False,True,True,False,False,,False
fusion_s480128m17_s694877m7_v7,ab42_l82_s480128_mpnn17,tfr1_l51_s694877_mpnn7,tfr1-ab,v7,GS4,20,153,55.67,81.49,68.58,55.67,35.78,16.46,0.6,False,True,True,False,False,,False
fusion_s843399m18_s422992m5_v8,ab42_l71_s843399_mpnn18,tfr1_l70_s422992_mpnn5,tfr1-ab,v8,GS5,25,166,55.72,80.55,68.13,55.72,37.45,16.19,0.54,False,True,True,False,False,,False
fusion_s480128m17_s694877m7_v10,ab42_l82_s480128_mpnn17,tfr1_l51_s694877_mpnn7,tfr1-ab,v10,PAPAP,5,138,54.03,81.98,68.0,54.03,56.7,14.6,0.64,False,True,False,True,False,,False
fusion_s480128m17_s694877m7_v6,ab42_l82_s480128_mpnn17,tfr1_l51_s694877_mpnn7,tfr1-ab,v6,GS3,15,148,51.83,81.93,66.88,51.83,38.32,18.17,0.58,False,True,True,False,False,,False
fusion_s480128m17_s694877m7_v8,ab42_l82_s480128_mpnn17,tfr1_l51_s694877_mpnn7,tfr1-ab,v8,GS5,25,158,51.37,81.45,66.41,51.37,38.88,18.36,0.55,False,True,True,False,False,,False
fusion_s480128m17_s422992m5_v6,ab42_l82_s480128_mpnn17,tfr1_l70_s422992_mpnn5,tfr1-ab,v6,GS3,15,167,51.77,80.4,66.09,51.77,43.92,14.04,0.65,False,True,False,True,False,,False
fusion_s843399m18_s694877m7_v8,ab42_l71_s843399_mpnn18,tfr1_l51_s694877_mpnn7,tfr1-ab,v8,GS5,25,147,51.23,80.79,66.01,51.23,35.31,19.28,0.51,False,True,True,False,False,,False
fusion_s480128m17_s422992m5_v5,ab42_l82_s480128_mpnn17,tfr1_l70_s422992_mpnn5,ab-tfr1,v5,PAPAP,5,157,79.3,51.04,65.17,51.04,48.44,21.38,0.55,False,False,True,False,False,,False
fusion_s480128m17_s422992m5_v2,ab42_l82_s480128_mpnn17,tfr1_l70_s422992_mpnn5,ab-tfr1,v2,GS4,20,172,77.35,51.66,64.5,51.66,37.98,22.34,0.52,False,False,True,False,False,,False
fusion_s480128m17_s422992m5_v10,ab42_l82_s480128_mpnn17,tfr1_l70_s422992_mpnn5,tfr1-ab,v10,PAPAP,5,157,49.49,78.76,64.12,49.49,52.0,18.47,0.58,False,False,True,False,False,,False
fusion_s311742m16_s255454m5_v10,ab42_l90_s311742_mpnn16,tfr1_l51_s255454_mpnn5,tfr1-ab,v10,PAPAP,5,146,46.12,81.61,63.86,46.12,42.98,18.99,0.61,False,True,True,True,False,,False
